年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,87,26,38,77,67,28,1.67,103
2014-01,44,2,21,41,20,10,1.05,25
2014-02,51,35,17,46,27,7,0.81,24
2014-03,52,22,15,53,6,4,0.99,57
2014-04,57,36,17,45,3,7,0.41,66
2014-05,61,35,14,38,2,5,0.34,78
2014-06,41,29,9,21,4,5,0.59,65
2014-07,38,20,6,15,1,4,0.56,60
2014-08,42,24,8,20,2,7,0.64,60
2014-09,43,22,10,19,2,5,0.44,59
2014-10,42,9,11,28,2,4,0.47,49
2014-11,54,30,21,55,8,13,0.5,44
2014-12,58,16,18,66,40,10,0.8,27
2015-01,55,34,24,61,35,10,0.59,28
2015-02,41,38,13,34,18,5,0.68,24
2015-03,66,167,21,80,14,7,0.61,64
2015-04,56,71,10,26,3,5,0.48,54
2015-05,47,66,10,32,2,3,0.5,82
2015-06,48,115,10,29,4,4,0.21,79
2015-07,44,78,8,15,4,7,0.42,73
2015-08,41,84,6,18,2,9,0.56,71
2015-09,39,80,6,14,2,9,0.49,57
2015-10,49,54,14,52,2,5,0.6,44
2015-11,50,110,17,53,4,12,0.65,19
2015-12,45,68,17,47,5,7,0.73,29
2016-01,43,58,11,33,9,3,0.43,36
2016-02,43,68,11,39,3,4,0.35,56
2016-03,51,66,17,48,5,6,0.42,57
2016-04,51,61,9,35,2,7,0.41,63
2016-05,42,68,7,17,2,3,0.63,68
2016-06,52,111,8,24,3,4,0.55,83
2016-07,34,59,9,21,5,7,0.83,56
2016-08,31,21,5,10,3,7,0.93,43
2016-09,39,69,9,31,2,3,0.51,42
2016-10,39,118,8,27,2,5,0.33,42
2016-11,68,137,19,67,11,7,0.44,54
2016-12,55,34,18,61,9,9,0.64,33
2017-01,44,51,19,44,7,6,0.4,40
2017-02,42,70,9,35,6,6,0.52,53
2017-03,48,34,13,39,2,4,0.32,68
2017-04,40,39,10,21,2,3,0.37,72
2017-05,54,60,8,21,4,2,0.19,78
2017-06,51,178,7,29,5,5,0.14,84
2017-07,37,49,6,13,4,3,0.13,74
2017-08,38,94,6,19,4,5,0.16,64
2017-09,45,116,8,28,3,3,0.21,46
2017-10,36,79,6,17,2,2,0.23,46
2017-11,49,86,18,48,3,5,0.25,47
2017-12,43,29,16,37,4,8,0.4,39
2018-01,49,32,20,51,6,7,0.45,32
2018-02,40,32,10,19,2,3,0.25,51
2018-03,54,27,17,52,2,4,0.27,69
2018-04,40,59,6,14,2,3,0.26,72
2018-05,62,128,6,30,3,3,0.16,83
2018-06,52,125,7,23,4,4,0.14,100
2018-07,48,136,7,17,2,3,0.14,88
2018-08,38,80,6,17,2,3,0.11,76
2018-09,35,73,4,20,2,5,0.19,50
2018-10,35,28,5,24,2,4,0.17,35
2018-11,36,35,5,26,3,3,0.18,34
2018-12,30,74,6,24,2,5,0.31,25
2019-01,37,32,7,26,3,2,0.3,33
2019-02,38,26,11,34,4,5,0.5,55
2019-03,47,50,6,28,2,3,0.35,75
2019-04,47,116,6,21,2,4,0.31,73
2019-05,50,119,5,11,2,2,0.31,77
2019-06,36,141,4,11,3,4,0.35,88
2019-07,30,120,7,19,3,5,0.37,85
2019-08,29,63,5,12,4,6,0.52,73
2019-09,27,66,7,15,3,5,0.49,63
2019-10,18,13,7,16,2,5,0.43,42
2019-11,24,19,8,21,4,6,0.39,35
2019-12,25,10,8,19,7,9,0.44,39
2020-01,27,13,11,24,4,7,0.58,40
2020-02,34,45,10,34,3,2,0.4,60
2020-03,28,32,6,19,4,2,0.31,52
2020-04,41,70,10,38,4,5,0.45,76
2020-05,28,65,5,11,3,4,0.43,72
2020-06,29,75,7,26,4,3,0.41,74
2020-07,31,99,8,22,2,4,0.42,66
2020-08,24,59,4,10,3,4,0.44,67
2020-09,26,77,5,22,3,4,0.46,49
2020-10,25,35,5,14,3,7,0.42,51
2020-11,20,17,8,13,4,7,0.46,38
2020-12,22,10,7,17,3,5,0.45,34
2021-01,24,6,8,20,6,8,0.5,42
2021-02,22,4,5,15,5,5,0.42,49
2021-03,46,114,9,51,2,3,0.4,39
2021-04,25,60,5,14,3,4,0.37,61
2021-05,28,97,4,20,3,4,0.4,71
2021-06,26,80,6,22,4,5,0.41,65
2021-07,29,104,4,21,4,4,0.42,78
2021-08,22,59,3,17,3,4,0.41,62
2021-09,28,78,4,13,3,7,0.42,58
2021-10,36,107,5,36,3,4,0.31,48
2021-11,38,66,10,39,4,3,0.36,31
2021-12,35,43,11,34,4,10,0.44,34
2022-01,32,56,11,26,6,7,0.38,36
2022-02,24,63,6,12,3,3,0.33,44
2022-03,23,12,4,16,7,6,0.35,52
