年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,103.0,190.0,68.0,102.0,53.0,41.0,0.99,33.0
2015-02,93.5,212.5,62.0,112.0,43.5,33.0,0.865,48.0
2015-03,69.0,196.0,46.0,80.0,35.0,32.0,0.77,59.0
2015-04,94.5,282.0,57.0,109.0,21.0,32.0,0.745,68.0
2015-05,75.0,244.0,36.0,87.0,12.0,27.0,0.68,68.0
2015-06,59.5,203.5,32.0,51.0,7.0,23.5,0.765,87.0
2015-07,59.0,174.0,33.0,63.0,10.0,18.0,0.7,60.0
2015-08,40.0,80.0,18.0,37.0,10.0,22.0,0.71,49.0
2015-09,56.0,187.0,23.5,63.5,11.0,27.0,0.62,44.5
2015-10,87.0,242.0,61.0,98.0,13.0,31.0,0.77,40.0
2015-11,108.0,300.0,78.5,109.5,21.0,34.0,1.23,33.0
2015-12,88.0,218.0,59.0,90.0,38.0,36.0,1.34,27.0
2016-01,97.0,254.0,66.0,101.0,40.0,33.0,1.19,29.0
2016-02,69.0,186.0,44.0,72.0,30.0,24.0,1.07,55.0
2016-03,85.0,207.0,53.0,96.0,24.0,32.0,0.91,67.0
2016-04,74.0,232.0,33.0,82.0,10.0,25.5,0.78,84.5
2016-05,78.0,252.0,32.0,76.0,12.0,26.0,0.8,105.0
2016-06,73.0,262.0,31.5,57.0,12.0,28.0,0.875,100.0
2016-07,63.0,255.0,37.0,57.0,9.0,23.0,0.84,80.0
2016-08,45.0,111.0,16.0,43.0,7.0,18.0,0.46,52.0
2016-09,47.5,114.0,26.0,48.0,9.5,20.5,0.605,58.5
2016-10,66.0,274.0,41.0,63.0,30.0,32.0,0.76,35.0
2016-11,88.0,246.5,60.5,93.5,36.5,41.0,0.875,30.0
2016-12,120.0,232.0,87.0,113.0,41.0,47.0,1.04,22.0
2017-01,102.0,197.0,72.0,102.0,29.0,40.0,0.84,36.0
2017-02,79.0,200.0,52.5,81.0,26.5,37.5,0.6,52.5
2017-03,117.0,328.0,84.0,126.0,27.0,42.0,0.88,52.0
2017-04,83.5,268.0,38.0,99.5,16.5,32.0,0.69,65.5
