年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,59,61,33,55,37,26,0.57,24
2015-02,42,58,15,37,17,13,0.31,29
2015-03,35,19,16,33,17,16,0.36,43
2015-04,60,156,23,55,12,16,0.48,39
2015-05,36,16,12,14,3,11,0.41,35
2015-06,29,22,13,21,4,13,0.48,44
2015-07,29,16,10,19,2,11,0.44,29
2015-08,19,4,7,15,5,13,0.38,23
2015-09,34,51,11,28,5,16,0.39,16
2015-10,40,62,10,28,4,14,0.43,15
2015-11,57,187,31,51,7,16,0.47,9
2015-12,41,40,20,40,11,14,0.88,5
2016-01,54,88,28,56,17,16,0.68,20
2016-02,48,43,19,38,5,9,0.79,32
2016-03,39,66,14,37,7,13,0.41,41
2016-04,51,116,20,46,3,16,0.46,56
2016-05,50,84,11,18,2,10,0.43,66
2016-06,36,86,10,21,3,17,0.26,62
2016-07,21,10,7,13,2,11,0.44,36
2016-08,17,12,3,5,4,5,0.24,30
2016-09,18,12,9,15,4,14,0.29,19
2016-10,32,46,17,29,13,13,0.41,23
2016-11,36,46,18,34,8,16,0.2,14
2016-12,53,59,25,53,16,22,0.39,7
2017-01,46,51,21,44,15,16,0.48,12
2017-02,41,61,20,40,12,16,0.34,33
2017-03,47,41,15,37,11,17,0.27,34
2017-04,42,40,18,40,8,19,0.42,43
2017-05,37,35,11,25,7,11,0.27,51
2017-06,38,68,15,35,7,16,0.44,39
2017-07,39,69,13,17,6,15,0.19,33
2017-08,32,59,10,13,4,12,0.31,30
2017-09,31,49,12,29,6,17,0.3,27
2017-10,37,72,15,36,6,15,0.35,22
2017-11,41,70,17,42,11,17,0.4,25
2017-12,51,72,26,54,15,17,0.37,11
2018-01,44,41,21,44,12,17,0.35,16
2018-02,53,56,18,52,10,11,0.29,27
2018-03,33,37,15,27,7,11,0.28,36
2018-04,42,32,18,33,4,9,0.37,44
2018-05,43,62,14,29,3,12,0.22,62
2018-06,37,39,9,23,4,14,0.3,56
2018-07,26,18,8,22,4,9,0.44,25
2018-08,25,19,5,18,4,9,0.31,19
2018-09,27,21,5,21,4,10,0.46,21
2018-10,24,16,7,23,3,9,0.46,15
2018-11,37,84,17,36,6,19,0.44,11
2018-12,36,65,14,36,7,12,0.53,14
2019-01,54,129,26,56,13,18,0.42,18
2019-02,53,123,32,53,9,9,0.34,34
2019-03,38,61,13,33,5,13,0.29,41
2019-04,51,100,18,45,4,16,0.35,47
2019-05,37,69,7,17,4,10,0.13,49
2019-06,19,22,4,13,4,9,0.21,33
2019-07,27,21,8,22,6,19,0.28,37
2019-08,17,10,6,15,6,10,0.21,17
2019-09,24,50,5,23,5,9,0.14,24
2019-10,23,55,6,22,4,10,0.09,19
2019-11,32,59,12,31,4,8,0.19,19
2019-12,35,50,19,33,8,16,0.32,19
2020-01,47,77,22,51,10,12,0.47,17
2020-02,33,33,17,29,5,4,0.23,33
2020-03,35,45,14,35,5,7,0.31,46
2020-04,22,42,8,20,4,6,0.18,44
2020-05,16,5,5,12,4,12,0.21,42
2020-06,17,25,4,15,4,12,0.21,37
2020-07,25,73,9,23,5,16,0.2,55
2020-08,16,6,6,10,3,9,0.19,27
2020-09,11,5,2,8,3,9,0.26,26
2020-10,24,85,6,23,3,10,0.25,25
2020-11,20,22,5,16,3,10,0.37,15
2020-12,33,51,16,31,5,11,0.47,19
2021-01,32,29,15,29,5,11,0.5,20
2021-02,27,28,16,25,4,6,0.55,40
2021-03,31,50,18,27,3,11,0.48,40
2021-04,25,24,8,15,2,11,0.42,43
2021-05,28,51,8,24,2,10,0.36,45
2021-06,22,21,7,18,2,13,0.34,48
2021-07,18,14,5,13,3,9,0.32,23
2021-08,12,12,4,11,3,5,0.26,26
2021-09,16,15,3,9,3,8,0.19,19
2021-10,25,81,4,25,3,9,0.22,26
2021-11,22,36,10,12,2,12,0.33,20
2021-12,24,24,9,23,4,14,0.49,23
2022-01,43,72,23,44,6,20,0.48,21
2022-02,39,77,17,38,5,12,0.44,37
2022-03,27,35,11,19,4,9,0.33,41
