年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,82.0,138.0,55.0,111.0,15.0,29.0,1.97,34.0
2015-02,76.0,144.0,46.5,94.0,20.5,13.5,0.9,44.0
2015-03,59.0,115.0,32.0,66.0,17.0,12.0,0.56,46.0
2015-04,58.5,109.5,21.0,65.5,25.5,8.5,0.5,62.5
2015-05,56.0,114.0,22.0,59.0,19.0,15.0,0.57,38.0
2015-06,38.0,66.5,15.0,37.0,29.0,15.0,0.425,35.5
2015-07,43.0,84.0,16.0,37.0,11.0,14.0,0.56,52.0
2015-08,31.0,37.0,15.0,28.0,7.0,14.0,0.56,44.0
2015-09,44.0,123.0,19.5,38.0,7.0,18.0,0.525,58.5
2015-10,54.0,124.0,25.0,55.0,8.0,21.0,0.67,64.0
2015-11,36.5,47.0,16.0,32.0,16.0,16.0,0.965,42.0
2015-12,50.0,94.0,23.0,52.0,14.0,18.0,0.97,43.0
2016-01,61.0,128.0,33.0,68.0,14.0,14.0,1.02,38.0
2016-02,49.0,70.0,27.0,48.0,13.0,15.0,0.78,34.0
2016-03,58.0,115.0,32.0,64.0,21.0,24.0,0.82,34.0
2016-04,49.0,61.5,18.5,49.5,21.5,15.0,0.695,34.0
2016-05,57.0,122.0,19.0,58.0,13.0,12.0,0.77,55.0
2016-06,49.0,134.5,14.5,51.0,8.5,10.0,0.74,51.0
2016-07,46.0,131.0,14.0,45.0,11.0,11.0,0.6,50.0
2016-08,44.0,123.0,15.0,42.0,13.0,12.0,0.56,52.0
2016-09,58.5,171.0,21.0,66.5,16.0,16.0,0.655,54.5
2016-10,51.0,135.0,18.0,54.0,16.0,12.0,0.98,49.0
2016-11,53.5,82.0,21.0,60.5,21.0,24.5,1.125,30.5
2016-12,79.0,115.0,35.0,99.0,19.0,28.0,1.53,27.0
2017-01,81.0,155.0,51.0,107.0,21.0,19.0,1.58,44.0
2017-02,50.5,61.5,21.5,58.0,17.5,19.0,1.68,39.5
2017-03,56.0,106.0,18.0,63.0,13.0,29.0,0.93,40.0
2017-04,61.5,117.0,16.0,73.5,10.0,31.0,0.78,50.0
2017-05,51.0,71.0,11.0,54.0,12.0,23.0,0.65,54.0
2017-06,40.5,66.5,10.0,35.5,3.0,22.0,0.67,43.5
2017-07,50.0,166.0,11.0,52.0,5.0,14.0,0.65,38.0
2017-08,47.0,164.0,11.0,48.0,3.0,12.0,0.73,49.0
2017-09,47.5,145.0,16.5,50.5,4.0,16.0,0.79,43.0
2017-10,32.0,68.5,12.5,32.0,4.5,12.5,0.815,42.5
2017-11,64.0,147.5,25.5,77.0,7.0,27.5,1.165,41.0
2017-12,76.0,158.0,41.0,101.0,10.0,28.0,1.31,33.0
2018-01,54.0,109.0,30.0,58.0,8.0,20.0,1.34,34.0
