年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,122,202,92,173,54,47,3.45,73
2015-02,124,262,93,163,59,37,1.82,73
2015-03,93,288,66,102,44,24,1.32,82
2015-04,83,198,44,113,59,18,0.92,90
2015-05,91,268,42,131,54,24,1.07,96
2015-06,59,160,20,67,65,26,0.81,67
2015-07,62,194,40,62,25,62,1.18,95
2015-08,53,158,25,48,16,21,0.72,84
2015-09,68,238,47,75,16,26,0.73,94
2015-10,91,300,64,119,16,33,0.92,90
2015-11,74,269,42,95,23,29,1.39,95
2015-12,94,201,67,129,50,34,1.7,77
2016-01,122,278,88,162,37,39,1.78,78
2016-02,143,265,107,144,27,19,1.45,66
2016-03,95,206,63,129,36,44,1.72,79
2016-04,76,212,40,99,43,38,1.66,72
2016-05,85,297,42,113,41,18,0.94,92
2016-06,88,328,25,116,21,19,0.9,93
2016-07,61,238,21,71,21,14,0.82,68
2016-08,70,278,23,87,88,30,0.98,90
2016-09,79,328,43,101,29,27,0.96,119
2016-10,74,295,36,95,36,24,1.57,94
2016-11,119,325,88,154,35,42,1.65,59
2016-12,113,252,76,160,31,51,1.86,79
2017-01,152,320,91,250,37,48,2.14,80
2017-02,139,316,104,206,30,59,2.15,95
2017-03,85,281,51,118,30,52,1.21,88
2017-04,90,260,36,129,27,44,1.37,89
2017-05,93,204,44,134,25,38,0.89,80
2017-06,63,211,18,75,9,32,0.82,74
2017-07,83,307,31,111,7,21,0.85,91
2017-08,73,310,23,84,6,16,0.88,83
2017-09,77,279,34,78,7,28,0.91,84
2017-10,100,269,74,123,7,31,1.08,84
2017-11,97,305,63,128,13,43,1.56,70
2017-12,108,268,73,155,25,54,1.87,84
2018-01,98,276,71,144,14,37,1.68,79
2018-02,132,342,99,202,13,47,2.02,83
2018-03,101,249,50,151,16,44,1.65,71
2018-04,93,317,36,134,16,28,1.11,79
2018-05,97,256,34,143,15,26,0.89,100
2018-06,68,264,22,85,15,25,0.88,90
2018-07,64,258,16,68,13,14,0.75,82
2018-08,76,325,20,68,5,17,0.59,108
2018-09,59,262,23,65,5,28,0.71,95
2018-10,69,267,23,79,6,41,1.04,89
2018-11,71,311,49,91,4,44,1.33,66
2018-12,124,327,92,175,11,58,2.09,57
2019-01,191,360,146,166,10,60,2.02,80
2019-02,118,347,89,107,7,29,1.44,76
2019-03,84,311,61,108,6,55,1.33,75
2019-04,68,311,46,84,7,33,0.88,78
2019-05,89,262,38,126,8,39,0.76,81
2019-06,58,192,23,52,9,28,0.69,100
2019-07,61,225,18,54,7,30,0.75,79
2019-08,55,268,36,58,5,24,1.01,84
2019-09,63,330,41,71,6,32,0.94,95
2019-10,65,335,45,79,5,31,0.95,87
2019-11,105,321,79,105,3,40,0.96,59
2019-12,209,363,161,205,6,50,1.41,74
2020-01,94,268,70,80,3,24,1.39,61
2020-02,92,299,68,77,3,19,1.01,62
2020-03,71,273,52,80,5,31,0.81,73
2020-04,83,284,61,84,14,36,0.78,77
2020-05,61,245,42,68,18,25,0.69,88
2020-06,38,187,20,38,9,25,0.72,52
2020-07,34,148,17,34,22,22,0.62,61
2020-08,47,244,26,45,11,18,0.64,87
2020-09,47,223,27,49,5,30,0.7,79
2020-10,77,294,54,88,7,37,0.78,113
2020-11,96,317,72,91,8,37,0.93,46
2020-12,130,304,98,149,8,50,1.5,59
2021-01,120,313,90,128,9,52,1.25,70
2021-02,130,335,100,123,7,29,0.83,86
2021-03,87,279,51,125,5,36,0.72,56
2021-04,45,91,23,49,7,24,0.5,69
2021-05,57,244,26,65,20,28,0.43,89
2021-06,46,227,24,47,8,26,0.45,65
2021-07,32,209,14,29,12,16,0.42,71
2021-08,38,215,18,33,16,14,0.62,77
2021-09,44,251,25,42,6,17,0.73,84
2021-10,47,287,31,47,4,29,0.95,98
2021-11,82,311,60,80,4,31,1.25,62
2021-12,128,313,97,148,5,42,1.4,61
2022-01,118,242,89,107,3,35,1.43,75
2022-02,139,297,107,124,3,28,1.27,70
2022-03,64,125,37,73,3,28,1.01,72
