年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,143.0,66.0,105.0,153.0,32.5,56.0,1.48,42.5
2013-11,97.0,51.5,70.5,122.5,28.5,48.0,1.2,28.0
2013-12,114.0,45.0,81.0,141.0,85.0,68.0,1.72,24.0
2014-01,115.0,103.0,83.0,141.5,96.0,55.0,2.37,35.5
2014-02,198.0,173.0,150.0,188.0,68.0,42.0,3.3899999999999997,47.5
2014-03,111.5,131.0,68.5,143.0,33.5,41.0,2.505,61.0
2014-04,84.0,89.5,51.5,103.0,14.0,34.5,1.6549999999999998,64.0
2014-05,88.0,105.0,48.0,123.0,13.0,31.0,1.33,69.0
2014-06,75.5,112.5,40.0,84.5,9.5,29.5,1.2149999999999999,78.0
2014-07,67.0,91.0,36.0,68.0,10.0,27.0,0.7,69.0
2014-08,67.0,112.0,41.0,79.0,11.0,27.0,0.82,63.0
2014-09,63.0,86.0,37.0,70.5,12.0,24.5,0.9199999999999999,44.5
2014-10,93.0,115.0,56.0,116.0,13.0,38.0,0.94,38.0
2014-11,111.5,122.0,80.5,131.0,30.5,45.0,1.5950000000000002,33.5
2014-12,92.0,104.0,58.0,119.0,53.0,37.0,1.71,25.0
2015-01,108.0,255.0,75.0,139.0,54.0,49.0,2.23,39.0
2015-02,110.5,254.5,69.0,135.5,38.0,26.5,1.825,62.0
2015-03,91.0,250.0,59.0,111.0,27.0,37.0,1.3,67.0
2015-04,74.5,204.0,34.5,92.5,15.0,27.0,0.865,67.0
2015-05,72.0,200.0,37.0,83.0,10.0,27.0,0.82,69.0
2015-06,65.5,220.5,29.5,74.5,7.0,21.5,0.905,67.0
2015-07,64.0,226.0,38.0,70.0,8.0,23.0,0.77,78.0
2015-08,59.0,175.0,36.0,66.0,4.0,25.0,0.71,58.0
2015-09,62.5,221.5,39.5,69.0,7.5,28.0,0.815,54.0
2015-10,73.0,191.0,42.0,90.0,14.0,40.0,0.98,42.0
2015-11,73.0,225.5,51.0,80.0,23.0,42.0,1.37,20.5
2015-12,132.0,284.0,100.0,127.0,39.0,48.0,1.54,29.0
2016-01,111.0,271.0,83.0,124.0,40.0,45.0,1.42,43.0
2016-02,98.0,255.0,55.0,117.0,27.0,29.0,1.11,73.0
2016-03,112.0,265.0,70.0,136.0,26.0,40.0,1.04,72.0
2016-04,76.0,229.0,41.0,84.0,14.5,32.0,0.735,88.0
2016-05,65.0,183.0,31.0,61.0,10.0,27.0,0.65,94.0
2016-06,65.5,223.5,27.5,59.0,9.0,21.0,0.6,93.0
2016-07,57.0,253.0,24.0,49.0,5.0,17.0,0.6,93.0
2016-08,65.0,242.0,37.0,59.0,9.0,16.0,0.85,89.0
2016-09,61.0,201.0,37.5,65.5,12.5,29.0,1.05,73.0
2016-10,66.0,248.0,39.0,76.0,15.0,29.0,1.27,42.0
2016-11,123.0,304.0,80.0,176.5,25.0,53.0,1.6,28.0
2016-12,116.0,224.0,85.0,132.0,32.0,51.0,1.59,33.0
2017-01,112.0,235.0,74.0,140.0,37.0,41.0,1.8,42.0
2017-02,112.5,259.5,69.5,126.5,28.5,38.0,1.625,58.5
2017-03,75.0,208.0,43.0,81.0,18.0,34.0,1.1,65.0
2017-04,67.0,176.5,31.5,71.5,12.0,30.0,1.0750000000000002,74.5
2017-05,65.0,178.0,29.0,59.0,11.0,27.0,1.14,94.0
2017-06,74.0,252.5,29.0,62.0,11.0,23.5,1.065,106.0
2017-07,68.0,273.0,35.0,68.0,9.0,21.0,1.04,97.0
2017-08,59.0,260.0,31.0,62.0,9.0,18.0,1.31,70.0
2017-09,68.0,246.5,36.0,78.5,12.0,25.0,1.19,58.0
2017-10,67.0,245.5,44.5,76.0,14.0,33.0,1.4100000000000001,37.0
2017-11,90.5,283.0,59.5,104.0,26.0,46.0,1.455,29.0
2017-12,100.0,250.0,67.0,126.0,35.0,50.0,1.56,31.0
2018-01,120.0,297.0,81.0,122.0,36.0,43.0,1.72,48.0
2018-02,86.5,241.0,52.5,104.0,29.5,36.0,1.315,61.5
2018-03,105.0,298.0,71.0,132.0,21.0,41.0,1.36,69.0
2018-04,82.0,211.0,39.5,105.5,16.5,34.5,1.09,74.0
2018-05,76.0,222.0,36.0,90.0,13.0,28.0,0.99,89.0
2018-06,72.5,233.5,27.0,60.0,14.0,26.0,1.24,107.5
