年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,39.5,16.5,14.5,38.5,34.0,7.0,0.425,40.0
2015-02,41.5,28.0,17.5,40.0,31.0,6.0,0.46,45.0
2015-03,50.0,74.0,17.0,52.0,31.0,6.0,1.04,43.0
2015-04,47.0,57.5,14.0,51.0,11.5,7.0,0.38,53.0
2015-05,50.0,85.0,14.0,57.0,11.0,8.0,0.68,54.0
2015-06,41.5,84.0,10.5,40.0,10.0,5.5,0.525,53.0
2015-07,44.0,97.0,13.0,41.0,8.0,3.0,0.66,60.0
2015-08,48.0,118.0,10.0,51.0,8.0,8.0,0.58,35.0
2015-09,37.5,68.0,9.5,35.5,7.0,9.5,0.735,39.0
2015-10,34.0,24.0,11.0,34.0,12.0,11.0,0.79,34.0
2015-11,37.0,45.0,17.0,35.5,22.5,16.0,1.0,35.0
2015-12,35.0,35.0,16.0,34.0,26.0,15.0,0.88,41.0
2016-01,40.0,34.0,10.0,27.0,36.0,12.0,0.67,50.0
2016-02,43.0,43.0,10.0,19.0,30.0,9.0,0.67,82.0
2016-03,43.0,40.0,15.0,34.0,21.0,7.0,0.41,73.0
2016-04,52.0,105.5,14.5,48.5,10.0,7.0,0.425,87.5
2016-05,55.0,117.0,11.0,52.0,7.0,10.0,0.56,82.0
2016-06,38.0,77.5,12.5,34.5,6.5,14.0,0.5549999999999999,56.0
2016-07,40.0,104.0,12.0,29.0,5.0,5.0,0.55,72.0
2016-08,44.0,110.0,11.0,34.0,7.0,12.0,0.63,69.0
2016-09,32.0,38.5,6.0,22.0,7.0,12.0,0.5700000000000001,54.0
2016-10,36.0,74.0,11.0,31.0,11.0,10.0,0.46,43.0
2016-11,33.5,32.0,11.0,31.5,21.0,12.5,0.48,53.0
2016-12,40.0,12.0,18.0,32.0,25.0,18.0,0.71,53.0
2017-01,39.0,27.0,12.0,29.0,26.0,16.0,0.83,69.0
2017-02,41.5,39.0,10.5,29.5,19.0,11.5,1.05,78.0
2017-03,40.0,28.0,12.0,26.0,20.0,12.0,0.49,70.0
2017-04,49.0,56.5,14.0,48.0,11.0,16.0,0.515,70.5
2017-05,47.0,76.0,13.0,40.0,9.0,13.0,0.55,80.0
2017-06,52.0,160.5,11.0,29.0,11.0,16.0,0.35,83.5
2017-07,51.0,143.0,11.0,25.0,10.0,17.0,0.4,94.0
2017-08,42.0,119.0,10.0,24.0,12.0,20.0,0.56,78.0
2017-09,45.0,96.5,9.0,36.0,11.0,20.0,0.35,64.0
2017-10,37.5,70.0,10.5,35.0,22.0,27.0,0.345,44.5
2017-11,35.0,28.5,9.0,31.5,25.5,22.0,0.415,44.5
2017-12,33.0,10.0,10.0,30.0,29.0,15.0,0.55,45.0
2018-01,41.0,32.0,12.0,40.0,34.0,14.0,0.48,55.0
2018-02,41.5,28.0,12.0,35.5,29.0,12.0,0.56,67.5
2018-03,51.0,90.0,16.0,53.0,22.0,11.0,0.44,74.0
2018-04,67.5,202.5,18.5,72.5,15.0,9.0,0.21000000000000002,83.5
2018-05,64.0,209.0,17.0,59.0,9.0,13.0,0.5,94.0
2018-06,56.5,183.5,9.0,36.0,8.0,9.0,0.45,92.5
2018-07,63.0,287.0,10.0,31.0,7.0,4.0,0.43,106.0
2018-08,48.0,146.0,8.0,22.0,9.0,6.0,0.28,90.0
2018-09,35.0,76.0,7.0,19.0,12.0,9.0,0.38,59.0
2018-10,31.0,36.0,9.0,24.0,17.0,12.0,0.39,46.0
2018-11,31.5,36.0,8.0,29.0,21.5,9.0,0.49,46.0
2018-12,37.0,73.0,8.0,34.0,28.0,8.0,0.25,52.0
2019-01,35.0,41.0,7.0,32.0,25.0,9.0,0.2,52.0
2019-02,29.5,47.0,8.0,19.5,17.0,4.0,0.29,52.0
2019-03,37.0,31.0,7.0,31.0,12.0,11.0,0.17,60.0
2019-04,42.5,68.5,7.5,25.0,8.5,9.5,0.155,74.0
2019-05,40.0,68.0,7.0,29.0,4.0,10.0,0.17,75.0
2019-06,41.0,114.0,6.0,16.0,6.0,8.0,0.16,85.0
2019-07,33.0,108.5,6.0,16.0,10.5,8.0,0.195,89.5
2019-08,23.0,23.5,6.0,10.5,12.5,7.0,0.23,55.0
2019-09,27.0,43.0,6.0,23.5,7.0,14.0,0.2,60.0
2019-10,27.0,39.0,6.0,27.0,11.0,9.0,0.32,48.0
2019-11,25.5,28.0,7.0,24.0,14.5,12.0,0.305,41.5
2019-12,20.0,9.0,7.0,16.0,26.0,9.0,0.38,51.0
2020-01,25.0,22.0,13.0,20.0,20.0,10.0,0.37,61.0
2020-02,24.0,35.0,9.0,15.0,20.0,6.0,0.2,70.0
2020-03,23.0,18.0,6.0,16.0,18.0,7.0,0.18,68.0
2020-04,36.0,69.0,11.0,34.5,14.0,9.5,0.2,68.0
2020-05,34.0,82.0,6.0,34.0,12.0,8.0,0.07,68.0
2020-06,31.0,158.5,7.0,21.5,11.0,8.0,0.13,85.5
2020-07,30.0,128.0,10.0,18.0,6.0,6.0,0.15,85.0
2020-08,23.0,77.0,5.0,15.0,7.0,7.0,0.13,69.0
2020-09,22.5,57.5,6.0,19.5,7.5,9.5,0.17,47.5
2020-10,23.0,33.0,5.0,22.0,8.0,11.0,0.3,44.0
2020-11,24.5,38.0,9.0,22.5,9.5,11.5,0.29000000000000004,50.0
2020-12,21.0,12.0,7.0,13.0,7.0,5.0,0.43,59.0
2021-01,29.0,16.0,7.0,27.0,8.0,6.0,0.48,58.0
2021-02,25.0,22.5,9.0,17.5,8.0,5.0,0.435,69.0
2021-03,33.0,47.0,12.0,33.0,7.0,11.0,0.28,65.0
2021-04,32.0,68.5,9.5,31.0,6.0,7.5,0.23,76.0
2021-05,35.0,114.0,7.0,32.0,7.0,8.0,0.2,76.0
2021-06,27.5,103.5,6.0,17.0,8.5,8.0,0.14,80.0
2021-07,26.0,97.0,4.0,12.0,10.0,8.0,0.28,78.0
2021-08,28.0,118.0,8.0,17.0,11.0,7.0,0.21,77.0
2021-09,25.0,77.0,6.5,17.5,11.0,11.0,0.2,63.5
2021-10,27.0,69.0,6.0,25.0,11.0,13.0,0.23,50.0
2021-11,29.5,39.5,7.0,29.5,10.5,13.0,0.235,50.5
2021-12,22.0,8.0,5.0,18.0,9.0,9.0,0.44,55.0
2022-01,20.0,15.0,7.0,17.0,9.0,11.0,0.46,50.0
2022-02,22.0,34.0,6.0,12.0,6.0,6.5,0.375,69.0
2022-03,27.0,34.0,6.0,21.5,8.0,6.5,0.46499999999999997,72.5
