年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,121.0,83.0,59.0,149.0,83.0,39.0,1.13,30.0
2014-01,114.0,81.5,83.0,123.0,94.5,44.0,1.54,25.0
2014-02,120.0,135.5,82.5,126.0,89.5,41.5,1.32,40.5
2014-03,92.5,110.0,60.5,115.0,71.0,39.5,1.545,52.5
2014-04,96.0,139.0,57.0,126.5,38.0,42.5,1.01,72.5
2014-05,73.0,83.0,43.0,85.0,30.0,39.0,0.9,80.0
2014-06,70.0,109.0,36.0,57.5,24.5,34.0,0.755,90.0
2014-07,73.0,125.0,49.0,65.0,23.0,29.0,0.77,94.0
2014-08,65.0,118.0,40.0,72.0,25.0,30.0,0.8,75.0
2014-09,59.5,89.0,31.5,66.0,30.0,41.0,0.75,45.5
2014-10,104.0,139.0,72.0,130.0,43.0,52.0,1.29,44.0
2014-11,97.5,119.5,65.5,113.0,107.0,59.5,2.225,22.0
2014-12,72.0,54.0,48.0,72.0,107.0,41.0,1.59,27.0
2015-01,79.0,102.0,54.0,78.0,105.0,47.0,1.51,23.0
2015-02,101.5,252.0,70.0,106.0,92.0,31.5,1.3450000000000002,37.5
2015-03,103.0,277.0,69.0,127.0,72.0,48.0,1.18,43.0
2015-04,89.5,262.0,61.0,96.0,37.5,41.5,1.09,71.0
2015-05,73.0,214.0,40.0,77.0,35.0,35.0,0.83,74.0
2015-06,74.0,258.5,40.0,56.5,26.5,24.0,0.88,100.0
2015-07,72.0,256.0,34.0,64.0,19.0,22.0,0.81,97.0
2015-08,62.0,226.0,27.0,50.0,20.0,26.0,0.83,75.0
2015-09,55.5,176.0,26.5,52.0,24.5,33.0,0.86,70.0
2015-10,62.0,189.0,31.0,69.0,36.0,33.0,0.98,47.0
2015-11,98.0,268.5,71.5,100.0,67.5,31.5,1.105,44.0
2015-12,113.0,267.0,84.0,116.0,109.0,48.0,1.38,26.0
2016-01,92.0,239.0,65.0,95.0,102.0,40.0,1.23,45.0
2016-02,80.0,218.0,52.0,77.0,76.0,34.0,1.1,62.0
2016-03,98.0,240.0,61.0,108.0,70.0,46.0,1.02,66.0
2016-04,83.0,262.0,47.5,91.5,31.0,37.0,0.75,91.5
2016-05,77.0,287.0,32.0,72.0,34.0,35.0,0.79,113.0
2016-06,86.5,313.0,38.0,54.0,21.5,29.0,0.785,123.0
2016-07,68.0,274.0,34.0,52.0,16.0,23.0,0.71,98.0
2016-08,51.0,184.0,24.0,41.0,17.0,25.0,0.65,78.0
2016-09,55.0,136.0,29.5,46.5,20.0,28.5,0.7849999999999999,64.5
2016-10,53.0,207.0,35.0,50.0,37.0,38.0,0.86,45.0
2016-11,94.0,271.5,69.5,84.5,78.0,43.5,1.205,30.5
2016-12,115.0,250.0,85.0,96.0,92.0,46.0,1.55,31.0
2017-01,107.0,221.0,79.0,98.0,95.0,45.0,1.43,38.0
2017-02,73.5,183.0,51.0,70.0,62.5,38.5,1.065,49.0
2017-03,75.0,235.0,50.0,79.0,58.0,41.0,0.94,58.0
2017-04,76.5,235.0,35.0,91.0,28.5,31.0,0.815,87.5
2017-05,78.0,248.0,35.0,74.0,16.0,27.0,0.77,105.0
2017-06,71.0,255.5,33.0,60.0,18.0,32.5,0.935,104.5
2017-07,74.0,287.0,31.0,59.0,13.0,21.0,0.81,119.0
2017-08,56.0,245.0,24.0,46.0,16.0,25.0,0.78,75.0
2017-09,68.0,241.5,27.0,66.5,27.0,33.5,0.885,75.0
2017-10,66.0,257.0,39.0,70.0,29.5,42.0,0.9450000000000001,44.0
2017-11,65.5,167.0,33.0,74.0,58.5,42.0,0.995,36.0
2017-12,77.0,203.0,54.0,76.0,83.0,45.0,1.32,25.0
2018-01,73.0,162.0,51.0,65.0,72.0,39.0,1.2,35.0
2018-02,87.5,207.5,59.5,87.0,66.5,34.0,1.17,51.0
2018-03,82.0,273.0,57.0,79.0,51.0,39.0,1.05,70.0
2018-04,77.5,221.0,40.5,87.0,25.5,30.5,0.905,83.0
2018-05,71.0,224.0,30.0,70.0,27.0,26.0,0.82,96.0
2018-06,73.0,248.5,38.0,56.0,22.0,24.0,0.855,110.5
2018-07,55.0,231.0,28.0,47.0,12.0,19.0,0.57,72.0
2018-08,52.0,220.0,19.0,48.0,15.0,23.0,0.78,76.0
