年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,154.5,81.5,46.5,101.0,26.5,23.5,2.145,25.5
2013-11,92.5,54.5,42.0,78.0,35.0,33.5,2.505,24.0
2013-12,157.0,66.0,122.0,199.0,32.0,40.0,1.52,11.0
2014-01,128.5,108.0,101.0,149.0,34.0,46.5,2.325,28.5
2014-02,95.5,108.5,69.0,112.0,26.5,39.0,1.795,34.0
2014-03,99.0,95.5,59.5,136.0,46.0,42.0,2.14,61.5
2014-04,93.0,121.5,62.0,119.5,46.0,34.0,2.03,61.0
2014-05,82.0,90.0,40.0,106.0,30.0,30.0,1.59,64.0
2014-06,73.5,105.0,43.5,96.5,24.0,28.5,2.045,55.0
2014-07,70.0,103.0,39.0,88.0,21.0,31.0,1.75,47.0
2014-08,68.0,115.0,46.0,75.0,27.0,31.0,1.55,47.0
2014-09,66.5,107.5,47.5,64.0,24.0,27.5,1.525,43.0
2014-10,87.0,111.0,62.0,94.0,27.0,44.0,1.81,48.0
2014-11,141.0,159.5,100.5,157.0,49.5,46.5,2.52,37.0
2014-12,102.0,125.0,74.0,113.0,78.0,51.0,2.73,29.0
2015-01,119.0,233.0,88.0,131.0,79.0,56.0,2.86,31.0
2015-02,87.5,180.0,57.5,101.5,49.0,40.0,2.335,59.0
2015-03,85.0,224.0,45.0,108.0,47.0,36.0,1.96,76.0
2015-04,71.5,166.5,37.5,88.5,40.5,33.5,1.3650000000000002,74.5
2015-05,83.0,262.0,51.0,100.0,28.0,25.0,1.16,89.0
2015-06,85.5,304.0,56.5,89.0,18.5,20.0,2.075,95.0
2015-07,101.0,331.0,62.0,88.0,25.0,26.0,1.64,108.0
2015-08,76.0,257.0,51.0,79.0,31.0,29.0,1.49,75.0
2015-09,65.5,253.5,43.0,69.5,22.0,27.0,1.5550000000000002,62.5
2015-10,78.0,240.0,55.0,94.0,35.0,44.0,1.73,58.0
2015-11,93.0,244.5,66.5,98.5,48.5,43.5,2.325,32.0
2015-12,182.0,308.0,141.0,202.0,136.0,59.0,2.72,27.0
2016-01,163.0,334.0,118.0,176.0,167.0,56.0,3.1,31.0
2016-02,100.0,261.0,59.0,120.0,113.0,38.0,2.5,56.0
2016-03,111.0,305.0,73.0,135.0,62.0,41.0,2.46,68.0
2016-04,90.0,280.0,52.5,122.5,25.5,33.0,1.685,90.5
2016-05,85.0,256.0,41.0,87.0,20.0,26.0,1.11,108.0
2016-06,78.5,300.5,46.0,74.5,15.0,21.5,1.165,94.0
2016-07,61.0,239.0,41.0,60.0,8.0,18.0,1.1,63.0
2016-08,59.0,230.0,37.0,54.0,6.0,19.0,1.25,73.0
2016-09,70.5,216.0,46.0,81.5,15.5,32.0,1.315,58.5
2016-10,62.0,212.0,35.0,61.0,20.0,39.0,1.73,43.0
2016-11,126.5,312.5,93.0,159.0,94.5,60.0,2.37,34.0
2016-12,151.0,306.0,114.0,176.0,158.0,73.0,3.07,29.0
2017-01,128.0,286.0,95.0,146.0,134.0,59.0,2.7,36.0
2017-02,113.0,283.5,84.0,133.5,120.0,56.5,2.75,51.0
2017-03,93.0,292.0,63.0,103.0,58.0,46.0,1.63,69.0
2017-04,83.5,269.5,43.5,96.5,24.0,38.5,1.3900000000000001,82.0
2017-05,85.0,280.0,36.0,77.0,15.0,33.0,0.84,121.0
2017-06,95.0,318.0,42.5,73.0,13.5,28.0,1.23,143.5
2017-07,81.0,306.0,45.0,74.0,8.0,22.0,1.36,113.0
2017-08,82.0,332.0,43.0,78.0,10.0,29.0,1.31,104.0
2017-09,83.0,328.0,52.5,97.5,13.0,36.5,1.55,86.0
2017-10,85.5,275.5,62.0,98.0,8.0,36.5,1.385,48.5
2017-11,93.5,283.5,64.0,116.5,32.5,44.0,1.56,47.0
2017-12,93.0,216.0,63.0,123.0,49.0,51.0,1.84,33.0
2018-01,130.0,310.0,97.0,132.0,46.0,53.0,1.88,39.0
2018-02,84.5,205.0,51.0,106.5,41.5,31.5,1.3,70.0
2018-03,108.0,297.0,71.0,117.0,15.0,30.0,1.15,91.0
2018-04,95.5,273.0,46.0,114.0,12.0,21.0,0.97,99.0
2018-05,89.0,301.0,39.0,100.0,13.0,23.0,0.99,117.0
2018-06,104.0,338.5,41.0,71.0,11.0,23.0,1.1,143.0
2018-07,75.0,314.0,36.0,53.0,7.0,12.0,0.99,119.0
2018-08,76.0,316.0,37.0,55.0,7.0,11.0,1.14,123.0
2018-09,56.0,230.0,26.0,55.0,7.0,20.0,1.01,73.0
2018-10,74.0,270.0,41.0,84.0,11.0,33.0,1.05,59.0
2018-11,79.0,257.0,51.5,99.5,20.5,43.0,1.385,33.0
2018-12,77.0,242.0,49.0,97.0,35.0,41.0,1.49,29.0
2019-01,111.0,263.0,83.0,131.0,37.0,54.0,2.06,30.0
2019-02,120.0,296.0,89.5,132.5,24.0,36.5,1.6749999999999998,58.5
2019-03,69.0,230.0,37.0,81.0,15.0,36.0,0.92,75.0
2019-04,76.0,282.0,43.0,81.5,9.5,30.0,1.06,83.0
2019-05,82.0,291.0,28.0,74.0,10.0,24.0,0.89,108.0
2019-06,88.0,337.0,30.0,62.0,8.0,17.0,0.94,150.0
2019-07,71.5,336.0,33.0,59.0,9.0,17.5,1.05,136.5
2019-08,62.0,322.5,38.0,57.5,9.0,22.0,1.2850000000000001,72.5
2019-09,58.0,263.0,32.5,61.0,10.5,32.0,1.07,88.5
2019-10,53.0,177.0,30.0,53.0,9.0,35.0,1.05,48.0
2019-11,74.0,229.0,41.0,99.0,15.5,44.5,1.16,41.0
2019-12,74.0,204.0,52.0,82.0,20.0,46.0,1.39,29.0
2020-01,139.0,304.0,105.0,137.0,30.0,50.0,1.83,45.0
2020-02,66.0,242.0,44.0,66.0,17.0,28.0,1.16,64.0
2020-03,65.0,257.0,34.0,78.0,13.0,26.0,0.79,72.0
2020-04,65.5,235.5,34.5,75.5,13.5,31.5,0.9650000000000001,86.0
