年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,72.0,119.0,37.0,94.0,90.0,28.0,1.91,29.0
2015-02,87.5,170.5,49.0,114.5,67.5,19.0,1.6749999999999998,36.5
2015-03,94.0,258.0,45.0,132.0,56.0,27.0,1.74,40.0
2015-04,85.0,258.0,45.5,114.5,36.0,26.0,1.455,56.0
2015-05,79.0,246.0,39.0,106.0,30.0,28.0,0.73,63.0
2015-06,69.0,222.0,38.5,66.0,29.5,24.0,0.76,86.0
2015-07,63.0,209.0,31.0,68.0,29.0,26.0,0.63,81.0
2015-08,54.0,167.0,26.0,46.0,28.0,27.0,0.62,64.0
2015-09,46.5,135.0,25.0,44.5,30.5,31.0,0.745,50.5
2015-10,50.0,127.0,24.0,57.0,28.0,31.0,0.99,39.0
2015-11,94.0,259.5,68.0,99.5,71.5,29.5,1.43,32.0
2015-12,94.0,197.0,65.0,93.0,90.0,33.0,1.53,27.0
2016-01,53.0,92.0,30.0,58.0,52.0,19.0,1.6,34.0
2016-02,59.0,105.0,30.0,62.0,42.0,16.0,0.93,46.0
2016-03,74.0,146.0,40.0,84.0,44.0,27.0,1.59,53.0
2016-04,75.0,231.5,42.0,88.5,26.0,24.0,1.885,65.5
2016-05,69.0,233.0,31.0,78.0,23.0,25.0,0.94,81.0
2016-06,71.5,265.0,37.0,65.0,18.5,24.0,1.21,94.0
2016-07,60.0,233.0,32.0,54.0,12.0,20.0,1.11,81.0
2016-08,50.0,171.0,23.0,47.0,14.0,26.0,0.86,57.0
2016-09,60.0,156.5,31.0,62.0,19.0,21.0,0.825,50.0
2016-10,62.0,233.0,34.0,73.0,28.0,26.0,0.65,37.0
2016-11,74.5,222.0,45.0,88.0,56.5,31.0,0.905,29.5
2016-12,83.0,159.0,57.0,91.0,77.0,29.0,1.23,38.0
2017-01,80.0,148.0,50.0,84.0,66.0,25.0,0.87,50.0
2017-02,67.0,177.5,42.0,63.0,45.5,28.5,0.765,62.0
2017-03,70.0,171.0,40.0,72.0,34.0,29.0,0.66,68.0
2017-04,79.0,227.5,31.5,99.0,15.5,24.0,0.5,85.0
2017-05,83.0,265.0,36.0,102.0,10.0,19.0,0.55,90.0
2017-06,61.0,236.5,23.0,55.0,11.5,22.5,0.59,89.5
2017-07,73.0,293.0,32.0,63.0,7.0,19.0,0.73,105.0
2017-08,50.0,208.0,22.0,51.0,10.0,20.0,0.54,69.0
2017-09,63.5,229.0,25.0,64.0,16.5,25.5,0.635,72.5
2017-10,61.5,240.5,33.5,63.0,19.5,30.5,0.6950000000000001,48.0
2017-11,63.0,157.0,35.5,67.0,29.0,26.0,0.66,45.5
2017-12,69.0,124.0,45.0,73.0,47.0,35.0,0.97,33.0
2018-01,57.0,126.0,30.0,57.0,37.0,23.0,0.66,50.0
2018-02,65.0,148.5,41.5,64.0,37.5,18.5,0.665,64.0
2018-03,79.0,236.0,50.0,84.0,41.0,26.0,0.69,77.0
2018-04,73.0,212.0,36.5,84.5,23.5,19.5,0.555,89.0
2018-05,67.0,236.0,28.0,69.0,18.0,16.0,0.48,96.0
2018-06,65.5,220.0,31.5,48.0,14.5,20.0,0.665,106.0
2018-07,54.0,217.0,25.0,36.0,6.0,12.0,0.51,84.0
2018-08,43.0,108.0,13.0,28.0,11.0,17.0,0.55,72.0
2018-09,48.0,202.0,17.0,40.0,11.0,19.0,0.47,52.0
2018-10,50.0,131.0,20.0,51.0,13.0,26.0,0.62,39.0
2018-11,75.5,238.0,46.5,89.5,42.5,33.0,0.755,31.0
2018-12,65.0,175.0,37.0,73.0,43.0,27.0,0.73,39.0
2019-01,77.0,180.0,42.0,88.0,48.0,27.0,0.77,40.0
2019-02,60.0,165.5,37.5,56.5,38.5,19.5,0.63,51.0
2019-03,62.0,178.0,27.0,68.0,30.0,22.0,0.56,67.0
2019-04,67.5,243.5,29.0,74.5,13.0,17.5,0.565,74.5
2019-05,65.0,210.0,26.0,70.0,12.0,16.0,0.5,81.0
2019-06,56.0,247.0,27.0,49.0,13.0,17.0,0.65,99.0
2019-07,50.5,265.0,24.5,41.0,9.5,16.0,0.69,96.5
2019-08,37.0,116.0,14.5,31.0,7.0,14.5,0.54,52.5
2019-09,51.0,194.5,22.0,52.5,15.0,20.5,0.6699999999999999,56.0
2019-10,62.0,223.0,31.0,67.0,18.0,26.0,0.85,45.0
2019-11,56.0,156.0,27.0,59.0,24.5,26.5,0.705,36.5
2019-12,67.0,213.0,41.0,69.0,33.0,31.0,0.97,35.0
2020-01,84.0,228.0,58.0,77.0,37.0,28.0,0.95,47.0
2020-02,55.0,229.0,37.0,52.0,22.0,17.0,0.64,60.0
2020-03,63.0,249.0,35.0,62.0,16.0,19.0,0.56,64.0
2020-04,70.5,295.0,35.0,71.5,14.0,20.5,0.54,71.5
2020-05,51.0,198.0,23.0,48.0,13.0,14.0,0.49,90.0
2020-06,49.5,263.0,20.0,46.0,15.0,17.0,0.515,99.5
2020-07,52.0,298.0,24.0,48.0,12.0,14.0,0.6,105.0
2020-08,42.0,287.0,21.0,39.0,9.0,16.0,0.65,80.0
2020-09,32.5,147.0,15.5,31.5,13.0,17.5,0.535,44.0
2020-10,53.0,243.0,28.0,58.0,17.0,27.0,0.68,40.0
2020-11,59.0,171.5,30.0,63.5,27.5,24.5,0.71,44.0
2020-12,54.0,149.0,37.0,52.0,23.0,24.0,0.71,43.0
2021-01,64.0,118.0,37.0,73.0,26.0,25.0,0.8,43.0
2021-02,77.5,236.0,40.0,83.5,29.5,23.0,0.7,57.0
2021-03,78.0,237.0,46.0,87.0,22.0,26.0,0.66,71.0
2021-04,59.0,218.5,28.5,68.0,16.0,20.0,0.53,84.0
2021-05,56.0,257.0,25.0,61.0,17.0,16.0,0.51,86.0
2021-06,44.0,247.5,19.5,43.5,14.0,16.5,0.61,81.0
2021-07,34.0,205.0,18.0,33.0,7.0,10.0,0.6,76.0
2021-08,37.0,195.0,18.0,33.0,10.0,14.0,0.62,60.0
2021-09,36.5,175.5,16.5,35.0,12.0,18.5,0.59,55.0
2021-10,51.0,277.0,23.0,55.0,14.0,26.0,0.57,43.0
2021-11,60.5,253.5,36.5,67.0,18.0,33.5,0.69,34.5
2021-12,59.0,160.0,36.0,66.0,29.0,28.0,0.73,34.0
2022-01,65.0,170.0,41.0,70.0,21.0,25.0,0.86,46.0
2022-02,44.0,145.0,25.0,42.5,10.5,13.5,0.48,64.5
2022-03,50.0,174.0,25.5,54.0,14.0,19.0,0.52,72.0
