年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,153,298,110,213,200,60,3.64,38
2015-02,300,352,170,410,155,52,3.07,50
2015-03,199,358,114,301,98,44,2.33,68
2015-04,216,361,98,306,69,43,2.61,102
2015-05,191,359,93,329,54,40,1.26,150
2015-06,122,348,91,144,42,44,1.4,128
2015-07,137,355,94,184,46,45,1.07,118
2015-08,133,358,97,143,64,38,1.51,142
2015-09,112,342,83,117,60,42,1.46,108
2015-10,175,354,133,197,81,63,2.11,105
2015-11,257,352,215,250,165,65,2.58,72
2015-12,213,336,168,214,216,69,2.98,43
2016-01,270,357,223,271,161,80,4.1,40
2016-02,115,330,83,124,97,32,1.33,59
2016-03,209,359,139,281,121,48,2.34,106
2016-04,205,356,94,294,50,39,2.35,98
2016-05,213,364,80,335,53,52,1.41,144
2016-06,124,358,80,156,42,39,11.3,142
2016-07,105,350,78,118,29,35,1.6,127
2016-08,100,359,72,125,48,39,1.48,124
2016-09,105,311,71,143,42,35,1.36,118
2016-10,235,366,186,273,67,54,2.24,132
2016-11,290,362,284,349,135,67,2.05,50
2016-12,210,339,165,250,193,70,2.73,70
2017-01,334,352,284,383,166,102,5.22,73
2017-02,266,351,215,275,150,62,2.58,92
2017-03,181,362,139,197,86,58,1.5,95
2017-04,169,362,87,256,33,40,1.14,155
2017-05,256,365,93,406,20,34,1.06,208
2017-06,144,351,78,156,22,32,1.17,188
2017-07,132,361,70,123,36,39,1.09,192
2017-08,96,353,67,102,21,29,1.37,131
2017-09,99,360,65,134,37,44,1.26,146
2017-10,186,355,141,180,44,64,2.08,120
2017-11,137,329,87,186,82,57,1.33,58
2017-12,143,273,110,157,117,53,1.67,70
2018-01,145,325,110,159,108,63,1.97,66
2018-02,141,330,105,161,110,46,1.63,84
2018-03,229,365,150,281,84,57,1.55,138
2018-04,219,364,139,326,43,36,1.22,168
2018-05,121,345,74,174,54,32,1.01,162
2018-06,110,337,53,104,30,34,1.07,165
2018-07,89,343,46,71,16,28,0.99,118
2018-08,99,346,41,72,27,31,0.92,149
2018-09,80,346,46,88,37,38,1.29,131
2018-10,161,360,121,150,35,54,2.11,84
2018-11,205,355,148,233,82,51,1.47,95
2018-12,118,335,82,162,87,56,1.47,56
2019-01,302,357,252,311,106,90,3.15,60
2019-02,140,334,104,168,74,42,1.37,67
2019-03,282,366,233,291,90,64,2.06,98
2019-04,265,363,84,944,32,31,0.87,129
2019-05,155,359,74,195,29,27,0.86,213
2019-06,84,357,52,80,19,27,1.0,141
2019-07,103,362,58,94,21,27,1.34,145
2019-08,66,331,36,52,12,18,0.9,116
2019-09,101,358,62,116,28,30,1.1,131
2019-10,121,340,87,134,40,49,1.78,170
2019-11,145,363,111,167,56,53,1.6,65
2019-12,196,358,152,189,76,55,2.29,57
2020-01,382,358,388,424,87,51,1.89,77
2020-02,157,359,120,146,59,28,1.49,79
2020-03,114,352,86,131,31,31,1.17,105
2020-04,217,366,108,318,38,36,0.97,159
2020-05,182,364,49,272,27,23,0.72,162
2020-06,97,360,45,103,29,29,0.87,205
2020-07,98,364,57,84,26,30,1.2,174
2020-08,83,364,59,83,31,27,1.13,130
2020-09,82,352,49,81,33,30,1.39,142
2020-10,143,358,107,160,40,56,1.43,129
2020-11,179,363,138,170,53,64,1.62,71
2020-12,155,338,119,164,86,53,1.74,67
2021-01,257,350,207,259,77,60,2.42,66
2021-02,256,360,208,254,49,40,1.31,87
2021-03,185,361,142,246,45,40,1.28,102
2021-04,202,360,89,293,34,38,0.86,148
2021-05,181,366,62,288,29,29,0.88,166
2021-06,76,332,48,82,45,32,1.13,156
2021-07,60,336,40,56,11,18,0.88,114
2021-08,84,362,62,100,23,28,1.8,135
2021-09,63,353,36,76,27,28,0.88,103
2021-10,150,358,114,140,32,50,1.12,90
2021-11,169,350,129,180,39,59,1.53,76
2021-12,128,346,98,140,46,53,1.45,61
2022-01,125,286,95,140,55,51,1.57,68
2022-02,132,323,99,137,39,47,1.27,76
2022-03,125,326,74,175,38,37,0.93,88
