年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,126.0,92.0,102.0,161.0,23.0,67.0,1.85,100.0
2014-01,87.5,55.5,62.5,98.0,12.5,34.5,1.4849999999999999,73.5
2014-02,53.0,31.5,33.0,52.5,4.0,20.0,1.21,37.5
2014-03,62.0,53.0,41.0,60.5,8.0,34.5,1.13,39.5
2014-04,46.5,13.5,28.5,42.5,4.5,13.0,1.0,62.5
2014-05,34.0,9.0,14.0,29.0,4.0,9.0,0.9,42.0
2014-06,30.5,8.0,12.0,26.0,3.0,5.5,0.92,48.0
2014-07,28.0,12.0,12.0,24.0,2.0,8.0,0.77,38.0
2014-08,29.0,9.0,13.0,26.0,3.0,9.0,0.8,36.0
2014-09,36.5,27.5,18.5,35.0,4.5,10.5,0.945,43.5
2014-10,80.0,94.0,53.0,82.0,8.0,17.0,1.01,87.0
2014-11,67.0,65.5,45.0,66.0,12.5,24.0,1.03,61.5
2014-12,81.0,72.0,56.0,88.0,14.0,35.0,1.01,42.0
2015-01,73.0,109.0,51.0,78.0,8.0,32.0,1.07,68.0
2015-02,76.5,146.5,54.0,77.5,3.0,24.0,1.05,74.5
2015-03,48.0,48.0,29.0,42.0,5.0,26.0,1.04,50.0
2015-04,43.0,43.5,24.0,40.0,4.0,17.5,0.845,54.5
2015-05,30.0,12.0,14.0,24.0,2.0,5.0,0.74,51.0
2015-06,25.0,8.0,9.0,19.5,3.0,4.0,0.675,41.5
2015-07,40.0,56.0,16.0,31.0,4.0,10.0,1.13,65.0
2015-08,34.0,46.0,15.0,26.0,4.0,12.0,0.84,53.0
2015-09,45.5,80.0,24.0,33.5,5.0,11.5,1.0,62.5
2015-10,70.0,207.0,46.0,58.0,8.0,19.0,1.07,80.0
2015-11,61.0,150.5,40.5,58.5,12.0,23.5,1.0950000000000002,57.0
2015-12,50.0,68.0,30.0,43.0,7.0,27.0,1.17,34.0
2016-01,43.0,59.0,28.0,38.0,6.0,32.0,1.21,32.0
2016-02,47.0,54.0,31.0,36.0,4.0,21.0,1.01,43.0
2016-03,55.0,49.0,37.0,47.0,5.0,23.0,1.04,52.0
2016-04,39.0,40.5,22.0,34.0,3.0,10.5,0.9299999999999999,51.0
2016-05,35.0,36.0,19.0,30.0,4.0,12.0,0.91,55.0
2016-06,31.5,22.5,13.5,23.0,3.5,8.5,0.71,46.5
2016-07,29.0,42.0,14.0,26.0,3.0,8.0,0.65,42.0
2016-08,44.0,106.0,22.0,35.0,5.0,13.0,0.9,64.0
2016-09,50.0,140.0,31.0,42.5,7.0,17.0,1.01,76.5
2016-10,52.0,192.0,33.0,44.0,8.0,16.0,1.1,74.0
2016-11,54.0,104.0,35.5,50.0,7.5,21.5,1.185,70.0
2016-12,76.0,110.0,53.0,70.0,11.0,30.0,1.12,82.0
2017-01,72.0,118.0,50.0,65.0,8.0,21.0,1.1,79.0
2017-02,57.0,89.5,34.5,47.0,5.0,19.0,0.945,73.5
2017-03,56.0,119.0,36.0,60.0,6.0,25.0,0.97,59.0
2017-04,44.0,41.5,26.0,38.5,5.0,15.0,0.9,59.5
2017-05,40.0,31.0,21.0,33.0,5.0,11.0,0.86,65.0
2017-06,28.0,20.5,11.5,21.5,3.0,5.0,0.67,47.0
2017-07,28.0,32.0,12.0,22.0,4.0,15.0,0.82,42.0
2017-08,29.0,35.0,12.0,23.0,4.0,10.0,0.77,49.0
2017-09,39.5,89.0,19.0,32.5,4.5,15.0,0.805,51.0
2017-10,49.0,201.0,27.5,41.0,7.5,18.0,0.89,70.5
2017-11,62.0,161.0,41.5,59.5,9.5,23.5,1.07,58.5
2017-12,88.0,207.0,65.0,85.0,15.0,32.0,1.04,75.0
2018-01,71.0,166.0,51.0,52.0,7.0,30.0,0.95,69.0
2018-02,70.5,140.0,44.0,54.5,5.0,16.0,0.825,68.5
2018-03,52.0,73.0,30.0,42.0,6.0,15.0,0.85,88.0
2018-04,51.0,43.0,27.5,46.5,7.0,15.0,0.79,65.5
2018-05,29.0,11.0,13.0,24.0,7.0,9.0,0.62,47.0
2018-06,33.5,41.5,15.0,28.5,9.0,12.0,0.71,57.0
2018-07,26.0,27.0,11.0,22.0,8.0,12.0,0.63,40.0
2018-08,38.0,82.0,19.0,30.0,6.0,16.0,0.74,56.0
2018-09,41.0,136.0,22.0,32.0,7.0,15.0,0.64,61.0
2018-10,64.0,229.0,37.0,56.0,10.0,22.0,0.9,90.0
2018-11,60.5,175.0,40.5,47.5,7.5,24.0,0.895,68.5
2018-12,48.0,100.0,30.0,46.0,5.0,21.0,0.79,34.0
2019-01,70.0,160.0,50.0,52.0,6.0,26.0,1.05,62.0
2019-02,35.5,55.0,21.5,26.0,4.0,9.0,0.85,53.0
2019-03,41.0,45.0,23.0,32.0,5.0,18.0,0.78,53.0
2019-04,34.5,36.5,17.0,29.0,5.0,11.0,0.59,43.5
2019-05,34.0,22.0,16.0,28.0,6.0,11.0,0.66,50.0
2019-06,28.0,26.0,10.0,22.0,6.0,10.0,0.64,41.0
2019-07,29.5,69.0,14.0,28.5,5.0,11.5,0.65,48.0
2019-08,34.5,132.0,17.0,29.0,5.0,14.0,0.86,61.5
2019-09,43.5,182.5,26.5,43.0,7.0,16.0,0.91,68.5
2019-10,55.0,206.0,34.0,52.0,9.0,14.0,0.83,93.0
2019-11,69.0,228.0,43.5,69.5,11.0,26.0,0.835,107.5
2019-12,58.0,131.0,40.0,58.0,10.0,27.0,0.95,74.0
2020-01,42.0,104.0,28.0,42.0,7.0,13.0,0.88,71.0
2020-02,33.0,60.0,22.0,31.0,7.0,8.0,0.56,65.0
2020-03,31.0,66.0,16.0,30.0,6.0,12.0,0.63,56.0
2020-04,34.0,49.5,19.0,33.0,6.0,16.0,0.75,66.0
2020-05,28.0,32.0,14.0,20.0,6.0,5.0,0.59,53.0
2020-06,19.0,26.0,7.0,17.5,4.0,4.0,0.495,42.0
2020-07,18.0,24.0,6.0,17.0,5.0,5.0,0.5,40.0
2020-08,21.0,59.0,10.0,21.0,5.0,10.0,0.58,40.0
2020-09,25.5,66.5,12.0,23.0,6.0,15.0,0.74,44.0
2020-10,43.0,158.0,25.0,40.0,7.0,17.0,0.68,75.0
2020-11,53.5,150.0,33.5,55.0,8.0,22.5,0.7150000000000001,86.0
2020-12,59.0,137.0,41.0,54.0,7.0,24.0,0.8,61.0
2021-01,65.0,115.0,43.0,63.0,8.0,30.0,0.7,65.0
2021-02,43.0,88.5,25.0,39.0,5.0,13.5,0.63,74.5
2021-03,43.0,79.0,22.0,43.0,5.0,16.0,0.64,55.0
2021-04,38.5,86.0,16.0,33.5,5.5,13.0,0.6,64.5
2021-05,19.0,12.0,7.0,18.0,4.0,4.0,0.55,47.0
2021-06,24.0,62.5,10.0,23.0,4.0,9.0,0.535,59.0
2021-07,24.0,70.0,9.0,22.0,5.0,8.0,0.49,47.0
2021-08,21.0,57.0,10.0,20.0,5.0,11.0,0.57,40.0
2021-09,27.0,86.0,11.5,24.0,6.0,15.0,0.575,40.5
2021-10,33.0,106.0,17.0,29.0,6.0,16.0,0.56,69.0
2021-11,49.5,132.5,28.0,51.5,10.0,24.0,0.545,76.5
2021-12,52.0,123.0,34.0,52.0,9.0,31.0,0.63,73.0
2022-01,62.0,161.0,42.0,51.0,6.0,27.0,0.76,53.0
2022-02,28.5,47.5,19.0,25.0,5.0,15.5,0.595,45.0
2022-03,37.5,67.5,18.5,35.0,6.0,13.5,0.53,57.0
