年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,132,72,0,62,14,24,1.72,4
2013-11,43,6,6,41,19,11,0.27,13
2013-12,57,8,11,37,23,9,0.39,13
2014-01,64,7,13,69,31,14,0.97,12
2014-02,52,73,15,52,36,24,0.81,13
2014-03,58,36,22,66,21,20,0.71,16
2014-04,68,43,28,84,6,24,0.72,23
2014-05,54,42,20,56,6,11,0.33,38
2014-06,49,58,18,51,8,16,0.48,41
2014-07,36,13,12,26,8,17,0.41,41
2014-08,34,24,13,34,28,31,0.52,41
2014-09,36,33,15,32,17,25,0.61,24
2014-10,27,4,6,24,27,25,0.48,21
2014-11,48,35,9,49,37,21,0.53,16
2014-12,60,30,11,70,34,16,0.42,15
2015-01,36,10,15,35,24,17,0.68,19
2015-02,44,36,11,44,21,17,0.4,22
2015-03,49,73,8,54,12,12,0.8,35
2015-04,38,23,12,37,3,8,0.77,34
2015-05,51,99,15,49,10,25,0.46,38
2015-06,44,96,6,31,15,17,0.38,54
2015-07,34,54,20,33,8,12,0.45,41
2015-08,31,39,15,25,7,11,0.52,28
2015-09,20,3,6,18,7,17,0.34,11
2015-10,22,2,6,18,9,12,0.42,9
2015-11,21,4,11,16,38,28,0.77,5
2015-12,45,105,11,45,19,11,0.53,6
2016-01,58,110,9,67,20,11,0.72,8
2016-02,33,56,11,27,20,8,0.71,9
2016-03,64,134,15,75,39,27,0.48,26
2016-04,43,44,13,37,17,22,0.63,33
2016-05,49,82,14,49,16,23,0.38,49
2016-06,49,155,14,40,18,20,0.71,54
2016-07,42,160,9,18,6,19,0.74,29
2016-08,40,112,15,37,9,19,1.03,33
2016-09,42,65,10,29,12,28,0.68,33
2016-10,31,73,14,29,7,16,0.82,7
2016-11,44,114,23,35,17,31,0.65,10
2016-12,60,55,33,66,42,30,0.88,8
2017-01,49,118,25,48,42,28,0.92,7
2017-02,46,78,19,39,20,20,0.72,34
2017-03,52,69,20,45,11,24,0.51,50
2017-04,52,135,17,39,8,24,0.47,55
2017-05,63,173,14,27,7,24,0.56,61
2017-06,51,186,23,42,4,20,0.7,79
2017-07,45,90,18,32,7,20,0.76,40
2017-08,33,68,17,28,4,21,0.68,25
2017-09,64,153,30,70,15,30,0.68,28
2017-10,24,28,14,20,7,22,0.47,18
2017-11,56,111,19,59,12,21,0.48,18
2017-12,44,67,19,43,17,24,0.63,12
2018-01,41,63,19,39,14,14,0.68,10
2018-02,47,46,20,49,15,12,0.62,28
2018-03,68,100,38,76,12,30,0.95,16
2018-04,37,27,18,19,5,14,0.5,41
2018-05,44,75,19,25,5,16,0.51,67
2018-06,40,76,13,20,6,24,0.53,64
2018-07,36,100,13,27,4,15,0.61,43
2018-08,35,73,14,20,3,16,0.67,46
2018-09,30,76,14,28,8,20,0.38,19
2018-10,38,105,14,31,9,23,0.35,22
2018-11,50,198,32,47,8,31,0.74,10
2018-12,49,122,23,52,13,21,0.43,7
2019-01,58,132,21,68,13,18,0.41,11
2019-02,48,105,28,48,6,16,0.61,24
2019-03,45,49,16,39,5,11,0.41,47
2019-04,32,7,18,25,2,14,0.49,22
2019-05,50,68,12,29,4,11,0.34,66
2019-06,46,186,12,26,5,18,0.29,82
2019-07,47,171,14,24,5,16,0.42,56
2019-08,38,124,16,34,6,15,0.56,35
2019-09,23,53,14,17,4,19,0.6,38
2019-10,18,24,11,13,4,14,0.43,11
2019-11,39,70,18,35,4,16,0.41,5
2019-12,35,73,18,35,6,22,0.54,4
2020-01,51,102,24,56,17,28,0.63,9
2020-02,27,62,13,23,2,11,0.43,16
2020-03,20,45,9,19,4,15,0.35,36
2020-04,41,85,14,39,4,19,0.34,47
2020-05,26,53,13,18,4,23,0.37,52
2020-06,47,260,13,33,5,17,0.43,63
2020-07,39,227,20,25,4,17,0.67,65
2020-08,23,88,10,9,5,16,0.49,49
2020-09,27,38,12,22,5,20,0.43,17
2020-10,33,168,14,31,6,24,0.41,20
2020-11,28,80,15,23,5,28,0.54,10
2020-12,40,63,18,39,6,18,0.42,5
2021-01,41,52,17,42,6,14,0.45,10
2021-02,47,85,20,49,9,22,0.53,34
2021-03,45,81,15,34,6,20,0.43,24
2021-04,42,92,17,39,6,17,0.4,47
2021-05,28,133,9,16,5,13,0.42,60
2021-06,33,186,14,22,7,15,0.48,67
2021-07,20,38,10,14,6,13,0.61,49
2021-08,30,132,11,26,7,17,0.55,54
2021-09,18,30,8,11,7,16,0.62,31
2021-10,15,37,7,9,6,19,0.5,14
2021-11,28,70,11,28,8,15,0.49,14
2021-12,39,120,18,40,9,20,0.47,9
2022-01,43,77,20,44,6,20,0.47,9
2022-02,25,76,12,23,5,21,0.42,30
2022-03,41,83,17,44,8,23,0.45,23
