年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,41.0,19.0,17.0,24.0,44.0,27.0,2.09,60.0
2015-02,43.0,31.0,15.5,23.5,29.5,16.0,1.2,78.0
2015-03,47.0,38.0,11.0,20.0,20.0,9.0,0.82,84.0
2015-04,50.5,54.0,10.0,26.0,10.0,5.0,0.69,93.5
2015-05,36.0,28.0,8.0,28.0,9.0,5.0,1.22,66.0
2015-06,45.5,116.5,8.0,27.0,12.0,7.0,0.885,86.5
2015-07,52.0,151.0,10.0,28.0,10.0,8.0,0.97,94.0
2015-08,46.0,127.0,10.0,32.0,9.0,10.0,0.81,86.0
2015-09,35.5,54.5,8.0,18.0,4.0,9.0,1.49,63.0
2015-10,34.0,21.0,9.0,20.0,3.0,12.0,1.5,63.0
2015-11,32.0,32.0,8.5,13.0,9.0,9.5,0.99,58.0
2015-12,33.0,18.0,13.0,16.0,22.0,25.0,1.13,55.0
2016-01,36.0,33.0,13.0,15.0,18.0,23.0,1.19,64.0
2016-02,38.0,37.0,12.0,21.0,27.0,23.0,0.89,66.0
2016-03,40.0,15.0,9.0,20.0,9.0,14.0,0.68,73.0
2016-04,43.0,41.5,6.5,15.0,2.0,7.0,0.47,82.5
2016-05,45.0,62.0,6.0,19.0,2.0,7.0,0.63,85.0
2016-06,43.0,103.5,6.0,20.0,5.0,7.0,0.68,83.5
2016-07,42.0,121.0,7.0,19.0,3.0,5.0,0.7,82.0
2016-08,39.0,92.0,7.0,25.0,3.0,4.0,0.65,74.0
2016-09,39.5,87.0,7.0,34.0,1.0,5.0,0.7,75.0
2016-10,31.0,35.0,7.0,16.0,5.0,9.0,0.55,55.0
2016-11,34.0,32.5,12.0,20.5,10.5,15.5,0.875,49.0
2016-12,37.0,7.0,16.0,22.0,27.0,27.0,2.19,53.0
2017-01,50.0,75.0,21.0,14.0,43.0,25.0,4.21,58.0
2017-02,59.0,108.0,17.0,20.5,38.0,23.0,5.745,66.5
2017-03,51.0,83.0,22.0,44.0,22.0,28.0,0.84,75.0
2017-04,43.0,33.5,7.0,20.5,3.0,4.0,0.45499999999999996,84.0
2017-05,53.0,82.0,7.0,25.0,3.0,4.0,0.49,94.0
2017-06,48.5,127.0,7.0,26.0,2.0,6.0,0.39,94.0
2017-07,46.0,130.0,7.0,28.0,4.0,4.0,0.35,89.0
2017-08,39.0,106.0,7.0,23.0,3.0,8.0,0.38,71.0
2017-09,34.0,36.5,7.0,25.5,2.0,7.0,0.44,56.5
2017-10,37.0,52.5,7.0,20.0,2.0,7.0,0.385,67.0
2017-11,34.5,23.0,9.0,17.0,4.0,11.0,0.495,61.0
2017-12,40.0,18.0,14.0,27.0,13.0,19.0,0.55,60.0
2018-01,37.0,34.0,17.0,27.0,18.0,24.0,0.63,51.0
2018-02,39.0,18.0,13.0,13.5,20.5,19.5,0.535,69.0
2018-03,45.0,30.0,7.0,13.0,5.0,7.0,0.49,85.0
2018-04,45.5,26.5,5.0,13.5,4.0,4.0,0.45999999999999996,88.5
2018-05,46.0,70.0,6.0,14.0,2.0,4.0,0.54,88.0
2018-06,43.0,93.5,8.5,18.5,7.0,5.0,0.395,85.0
2018-07,39.0,106.0,6.0,16.0,8.0,8.0,0.36,74.0
2018-08,38.0,69.0,6.0,12.0,10.0,6.0,0.48,74.0
2018-09,27.0,25.0,5.0,16.0,11.0,7.0,0.68,44.0
2018-10,25.0,10.0,5.0,13.0,15.0,8.0,0.91,42.0
2018-11,19.0,1.0,5.5,11.0,10.0,11.0,1.1949999999999998,31.0
2018-12,23.0,7.0,7.0,10.0,9.0,8.0,1.14,41.0
2019-01,28.0,16.0,10.0,12.0,14.0,12.0,1.15,43.0
2019-02,34.0,57.5,10.0,10.0,2.5,11.0,0.715,56.0
2019-03,29.0,7.0,11.0,14.0,5.0,17.0,0.46,46.0
2019-04,29.5,17.5,6.0,7.0,5.5,13.0,0.25,57.5
2019-05,42.0,61.0,6.0,14.0,4.0,13.0,0.26,78.0
2019-06,41.0,140.0,5.0,10.0,4.0,8.0,0.22,90.0
2019-07,29.0,93.0,4.0,12.0,6.0,8.5,0.37,83.5
2019-08,28.0,88.0,5.5,13.5,3.0,9.0,0.255,78.5
2019-09,22.0,28.5,6.0,15.0,2.0,11.5,0.43,54.0
2019-10,24.0,35.0,7.0,17.0,2.0,16.0,0.56,45.0
2019-11,24.0,14.0,7.0,13.0,6.0,18.5,0.445,53.0
2019-12,20.0,8.0,10.0,13.0,7.0,26.0,0.68,31.0
2020-01,26.0,23.0,13.0,13.0,7.0,26.0,0.81,51.0
2020-02,21.0,14.0,8.0,8.0,7.0,10.0,0.48,56.0
2020-03,22.0,14.0,6.0,7.0,6.0,10.0,0.43,63.0
2020-04,32.0,44.0,7.0,17.5,2.0,6.5,0.30000000000000004,84.5
2020-05,29.0,36.0,7.0,18.0,2.0,7.0,0.42,75.0
2020-06,25.5,80.5,5.0,9.5,2.0,7.0,0.305,75.0
2020-07,23.0,59.0,6.0,9.0,1.0,8.0,0.44,70.0
2020-08,22.0,56.0,6.0,8.0,2.0,5.0,0.46,69.0
2020-09,23.0,45.5,7.0,15.5,1.0,15.0,0.535,52.0
2020-10,21.0,14.0,7.0,14.0,1.0,13.0,0.55,36.0
2020-11,17.0,6.0,7.5,13.5,2.0,17.0,0.47,18.0
2020-12,26.0,20.0,13.0,15.0,4.0,22.0,0.52,25.0
2021-01,24.0,8.0,15.0,11.0,4.0,21.0,0.59,40.0
2021-02,23.0,8.0,11.5,10.5,4.0,16.5,0.485,51.5
2021-03,22.0,9.0,8.0,10.0,2.0,10.0,0.45,54.0
2021-04,23.0,18.0,7.5,13.0,1.0,6.0,0.605,68.5
2021-05,28.0,58.0,7.0,17.0,1.0,6.0,0.3,80.0
2021-06,25.0,54.5,5.0,11.5,1.0,7.0,0.24,74.5
2021-07,27.0,116.0,5.0,13.0,2.0,8.0,0.37,79.0
2021-08,25.0,95.0,7.0,15.0,2.0,11.0,0.46,72.0
2021-09,30.0,129.0,7.5,26.5,3.0,13.0,0.375,60.0
2021-10,27.0,79.0,7.0,22.0,3.0,12.0,0.35,57.0
2021-11,22.0,18.0,7.0,10.5,3.0,17.0,0.42,60.0
2021-12,23.0,12.0,10.0,11.0,5.0,25.0,0.45,52.0
2022-01,24.0,23.0,12.0,13.0,3.0,22.0,0.51,54.0
2022-02,29.0,76.5,7.5,15.0,3.0,15.0,0.31,81.0
2022-03,29.0,27.5,4.5,10.5,2.0,7.5,0.3,89.0
