年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,32.0,9.0,19.0,25.0,4.0,13.0,0.52,42.0
2015-02,28.5,5.5,14.5,25.0,8.5,8.0,0.28500000000000003,36.5
2015-03,30.0,9.0,13.0,28.0,5.0,6.0,0.33,45.0
2015-04,36.0,17.0,16.0,31.5,6.0,6.0,0.38,56.0
2015-05,34.0,17.0,17.0,28.0,8.0,11.0,0.3,52.0
2015-06,36.5,47.5,22.0,28.0,11.0,9.0,0.405,42.5
2015-07,34.0,39.0,15.0,30.0,5.0,7.0,0.44,48.0
2015-08,41.0,81.0,21.0,39.0,5.0,7.0,0.56,27.0
2015-09,40.0,87.0,24.5,37.5,6.0,4.0,0.79,23.0
2015-10,37.0,32.0,20.0,35.0,4.0,8.0,0.62,29.0
2015-11,36.0,30.0,17.5,34.0,6.0,11.0,0.435,34.0
2015-12,37.0,37.0,19.0,35.0,9.0,13.0,0.44,40.0
2016-01,37.0,26.0,21.0,34.0,8.0,15.0,0.72,43.0
2016-02,38.0,28.0,20.0,34.0,9.0,9.0,0.96,57.0
2016-03,42.0,29.0,20.0,38.0,5.0,12.0,0.87,61.0
2016-04,40.5,36.5,19.0,34.5,6.5,10.0,0.655,62.5
2016-05,37.0,32.0,19.0,31.0,7.0,9.0,0.6,61.0
2016-06,35.5,57.0,16.0,28.0,6.0,8.0,0.75,50.5
2016-07,33.0,47.0,13.0,24.0,8.0,8.0,0.65,44.0
2016-08,38.0,70.0,20.0,29.0,13.0,10.0,0.88,49.0
2016-09,26.5,13.5,13.0,20.5,13.0,9.0,0.705,28.5
2016-10,31.0,26.0,12.0,29.0,14.0,11.0,0.47,29.0
2016-11,39.5,38.0,19.0,40.0,13.0,15.0,0.515,33.0
2016-12,44.0,26.0,22.0,43.0,12.0,19.0,0.68,36.0
2017-01,32.0,13.0,12.0,25.0,9.0,11.0,0.56,53.0
2017-02,33.0,9.0,11.0,23.5,6.0,5.0,0.435,63.0
2017-03,43.0,44.0,12.0,26.0,6.0,6.0,0.43,79.0
2017-04,39.5,18.5,10.0,22.0,7.0,6.0,0.485,69.5
2017-05,35.0,11.0,9.0,20.0,7.0,6.0,0.49,68.0
2017-06,26.0,14.0,4.5,11.5,7.0,5.5,0.515,45.0
2017-07,29.0,24.0,4.0,14.0,7.0,6.0,0.48,55.0
2017-08,22.0,11.0,4.0,10.0,7.0,6.0,0.48,41.0
2017-09,20.0,2.0,4.0,11.0,7.0,6.0,0.475,30.5
2017-10,24.0,7.5,6.0,19.0,7.0,7.0,0.38,32.5
2017-11,31.0,12.5,12.0,26.0,10.0,11.0,0.525,39.5
2017-12,37.0,13.0,17.0,36.0,12.0,15.0,0.64,37.0
2018-01,38.0,26.0,15.0,30.0,11.0,12.0,0.61,51.0
2018-02,38.5,18.5,10.5,25.0,8.0,5.0,0.52,67.5
2018-03,37.0,9.0,8.0,15.0,7.0,6.0,0.36,75.0
2018-04,45.5,25.5,7.0,15.0,7.0,7.0,0.43,87.0
2018-05,40.0,35.0,6.0,15.0,6.0,6.0,0.42,78.0
2018-06,31.0,26.5,7.0,19.0,6.0,6.0,0.45,53.5
2018-07,28.0,36.0,11.0,22.0,6.0,5.0,0.48,36.0
2018-08,28.0,22.0,11.0,18.0,6.0,4.0,0.5,52.0
2018-09,21.0,6.0,8.0,13.0,5.0,6.0,0.38,34.0
2018-10,22.0,8.0,9.0,14.0,6.0,7.0,0.35,39.0
2018-11,29.0,18.0,15.5,23.5,6.0,10.0,0.475,38.0
2018-12,35.0,44.0,21.0,31.0,7.0,15.0,0.58,39.0
2019-01,33.0,23.0,18.0,27.0,8.0,11.0,0.67,53.0
2019-02,33.5,49.0,14.0,19.0,7.0,4.0,0.445,65.0
2019-03,38.0,29.0,14.0,22.0,8.0,5.0,0.54,72.0
2019-04,38.5,36.5,13.0,21.5,9.0,5.5,0.425,72.5
2019-05,33.0,22.0,11.0,15.0,7.0,4.0,0.32,67.0
2019-06,25.0,37.0,11.0,15.0,8.0,4.0,0.3,50.0
2019-07,23.5,43.0,11.0,18.0,10.0,5.0,0.23,40.5
2019-08,27.0,52.5,14.0,20.5,9.0,6.0,0.325,49.0
2019-09,23.0,22.0,13.0,19.0,8.0,5.0,0.345,35.0
2019-10,27.0,45.0,17.0,21.0,6.0,8.0,0.38,36.0
2019-11,30.5,37.0,19.0,25.0,6.0,10.0,0.565,33.0
2019-12,36.0,40.0,23.0,29.0,5.0,16.0,0.73,42.0
2020-01,31.0,39.0,19.0,25.0,4.0,14.0,0.66,56.0
2020-02,27.0,37.0,14.0,17.0,4.0,5.0,0.48,69.0
2020-03,26.0,24.0,12.0,16.0,5.0,7.0,0.38,73.0
2020-04,26.5,19.0,12.0,17.0,6.0,8.0,0.35,71.5
2020-05,26.0,29.0,12.0,16.0,8.0,8.0,0.34,69.0
2020-06,22.0,57.5,11.5,15.0,8.0,6.0,0.25,44.5
2020-07,21.0,47.0,12.0,17.0,7.0,7.0,0.45,31.0
2020-08,25.0,103.0,13.0,20.0,8.0,8.0,0.37,44.0
2020-09,25.0,59.5,13.0,21.0,8.0,10.0,0.49,28.5
2020-10,28.0,46.0,15.0,27.0,8.0,11.0,0.5,27.0
