年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,66,87,40,67,38,30,1.86,78
2015-02,93,229,29,108,27,27,2.51,100
2015-03,71,224,17,65,22,14,3.12,121
2015-04,80,208,47,56,16,12,3.16,110
2015-05,58,136,30,45,12,12,3.01,104
2015-06,55,227,31,52,12,10,0.59,92
2015-07,81,301,53,90,13,8,0.63,79
2015-08,53,224,33,60,15,5,0.63,66
2015-09,42,135,21,32,11,11,0.57,66
2015-10,49,113,34,45,12,15,0.54,43
2015-11,56,234,33,60,32,47,0.84,40
2015-12,77,187,57,99,44,55,1.47,44
2016-01,59,155,55,59,35,34,1.25,35
2016-02,51,254,35,49,33,21,0.96,57
2016-03,47,114,27,46,23,22,0.93,44
2016-04,55,159,35,69,14,13,0.64,52
2016-05,63,203,30,81,15,18,0.79,67
2016-06,106,336,37,143,8,17,0.73,72
2016-07,70,290,42,61,8,19,0.81,60
2016-08,69,336,29,83,8,58,0.35,51
2016-09,70,293,41,62,9,23,0.5,72
2016-10,92,315,45,104,29,29,0.7,58
2016-11,65,299,28,82,49,51,1.04,97
2016-12,66,151,34,77,62,41,1.25,89
2017-01,50,87,22,42,38,31,1.03,95
2017-02,66,135,21,59,36,33,0.85,102
2017-03,58,204,28,58,22,28,0.7,104
2017-04,84,316,32,67,19,24,0.89,140
2017-05,100,287,24,109,17,23,0.56,133
2017-06,110,340,24,52,16,52,0.52,165
2017-07,85,317,39,34,9,50,0.34,142
2017-08,80,352,10,22,8,19,0.35,146
2017-09,81,329,11,34,8,63,0.6,141
2017-10,58,275,17,44,24,32,0.68,102
2017-11,53,176,29,56,36,40,0.83,79
2017-12,83,253,39,116,42,43,0.91,76
2018-01,106,236,51,129,30,35,0.86,83
2018-02,78,189,29,90,39,29,0.85,80
2018-03,86,207,31,95,45,28,0.68,101
2018-04,70,260,32,91,16,25,0.67,113
2018-05,84,324,49,98,19,22,0.81,136
2018-06,106,361,55,137,6,22,0.9,167
2018-07,81,328,23,45,13,30,0.66,136
2018-08,65,310,12,35,9,16,0.6,122
2018-09,55,241,8,28,3,7,0.52,105
2018-10,52,214,13,28,20,20,0.62,101
2018-11,45,233,16,40,37,31,0.8,81
2018-12,45,127,20,39,31,37,0.83,81
2019-01,48,111,27,38,45,45,0.9,71
2019-02,42,138,13,16,28,30,0.58,86
2019-03,44,77,22,34,19,27,1.07,91
2019-04,63,161,10,32,15,28,0.53,118
2019-05,80,291,10,24,9,19,0.58,141
2019-06,77,324,13,41,4,15,0.47,150
2019-07,78,310,7,18,7,26,0.42,131
2019-08,51,255,12,34,8,15,0.39,117
2019-09,37,136,9,21,9,20,0.48,118
2019-10,34,96,13,27,19,31,0.48,90
2019-11,32,54,9,18,16,24,0.55,82
2019-12,51,78,9,47,19,23,0.64,80
2020-01,33,75,6,13,22,30,0.66,97
2020-02,27,102,9,17,17,12,0.99,81
2020-03,32,134,8,29,13,10,0.62,96
2020-04,35,89,9,29,14,15,0.65,90
2020-05,45,232,14,34,13,12,0.6,131
2020-06,72,344,8,19,10,13,0.64,176
2020-07,49,297,12,20,9,15,0.6,153
2020-08,39,283,10,22,9,15,0.61,124
2020-09,43,268,9,32,16,27,0.6,129
2020-10,41,180,12,38,23,30,0.9,104
2020-11,41,149,13,43,26,31,0.8,89
2020-12,42,95,11,47,28,28,0.75,89
2021-01,114,240,27,176,17,21,0.72,100
2021-02,47,164,12,56,15,22,0.77,105
2021-03,66,148,28,87,11,11,0.62,134
2021-04,66,306,15,61,10,10,0.6,148
2021-05,63,303,16,37,11,11,0.55,161
2021-06,71,360,8,19,8,15,0.43,176
2021-07,74,364,11,22,10,12,0.4,178
2021-08,50,321,6,15,7,8,0.33,154
2021-09,36,233,11,18,8,15,0.4,113
2021-10,42,307,11,27,10,14,0.54,117
2021-11,32,82,8,20,11,16,0.67,93
2021-12,31,49,11,25,20,17,0.73,93
2022-01,30,87,7,14,18,16,0.65,92
2022-02,35,125,7,21,14,10,0.55,112
2022-03,43,147,9,28,10,12,0.55,128
