年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,94.0,172.0,66.0,103.0,36.0,38.0,1.39,33.0
2015-02,88.0,161.0,54.5,100.5,24.0,19.0,1.03,58.5
2015-03,71.0,157.0,49.0,74.0,14.0,23.0,0.7,62.0
2015-04,57.5,110.5,30.5,54.0,10.0,17.0,0.5700000000000001,81.0
2015-05,59.0,130.0,30.0,53.0,12.0,16.0,0.52,88.0
2015-06,60.5,213.5,23.5,63.0,12.0,20.0,0.565,77.0
2015-07,54.0,160.0,22.0,53.0,14.0,15.0,0.56,84.0
2015-08,49.0,139.0,22.0,46.0,11.0,17.0,0.53,65.0
2015-09,39.5,77.5,22.0,35.5,13.0,19.0,0.69,52.0
2015-10,47.0,81.0,27.0,47.0,17.0,22.0,0.56,48.0
2015-11,33.5,39.0,14.0,32.5,20.0,25.0,0.935,28.0
2015-12,51.0,88.0,31.0,54.0,27.0,34.0,0.92,27.0
2016-01,58.0,119.0,37.0,62.0,29.0,36.0,0.9,33.0
2016-02,65.0,131.0,38.0,69.0,25.0,25.0,0.73,48.0
2016-03,63.0,80.0,30.0,64.0,17.0,21.0,0.73,59.0
2016-04,44.5,50.0,16.5,41.0,17.5,20.0,0.745,64.5
2016-05,53.0,95.0,27.0,52.0,16.0,15.0,0.57,76.0
2016-06,47.0,130.5,22.5,39.5,20.5,16.5,0.53,75.0
2016-07,40.0,101.0,17.0,26.0,19.0,16.0,0.7,73.0
2016-08,43.0,124.0,21.0,26.0,18.0,10.0,0.7,82.0
2016-09,42.5,85.0,23.5,35.5,22.5,19.0,0.69,54.0
2016-10,38.0,77.0,21.0,34.0,24.0,22.0,0.88,38.0
2016-11,66.5,149.5,38.0,79.0,33.5,29.5,1.145,34.0
2016-12,78.0,152.0,55.0,96.0,41.0,45.0,1.61,30.0
2017-01,78.0,163.0,56.0,85.0,36.0,40.0,1.44,33.0
2017-02,58.5,102.0,39.0,59.0,27.0,26.5,0.8200000000000001,44.5
2017-03,53.0,84.0,30.0,53.0,20.0,27.0,0.75,56.0
2017-04,47.0,45.0,22.0,38.5,18.0,21.5,0.56,62.5
2017-05,54.0,103.0,19.0,38.0,19.0,16.0,0.48,93.0
