年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,169.0,307.0,129.0,189.0,27.0,41.0,3.53,34.0
2015-02,154.5,316.5,117.0,178.5,20.0,24.0,2.075,41.0
2015-03,91.0,249.0,62.0,115.0,17.0,22.0,1.99,55.0
2015-04,81.5,224.0,57.0,105.0,12.0,20.5,1.34,67.0
2015-05,85.0,276.0,60.0,99.0,12.0,14.0,1.26,70.0
2015-06,59.5,187.0,37.5,61.0,10.5,12.0,1.125,74.5
2015-07,57.0,189.0,35.0,49.0,9.0,11.0,0.95,77.0
2015-08,61.0,217.0,39.0,58.0,7.0,14.0,1.03,80.0
2015-09,72.0,281.0,44.5,68.5,10.5,17.0,1.105,85.0
2015-10,85.0,236.0,52.0,91.0,15.0,33.0,1.07,78.0
2015-11,70.5,189.0,48.0,76.5,7.0,32.0,1.31,24.0
2015-12,119.0,251.0,89.0,113.0,13.0,43.0,1.33,25.0
2016-01,118.0,287.0,88.0,133.0,15.0,40.0,1.75,25.0
2016-02,112.0,279.0,78.0,119.0,15.0,35.0,1.64,51.0
2016-03,80.0,218.0,56.0,84.0,13.0,29.0,1.1,80.0
2016-04,60.0,140.0,33.0,59.0,8.0,18.0,0.87,80.5
2016-05,67.0,192.0,34.0,73.0,7.0,18.0,0.79,82.0
2016-06,61.0,218.5,33.0,65.0,5.5,14.0,0.675,82.0
2016-07,52.0,175.0,32.0,50.0,4.0,9.0,0.6,72.0
2016-08,64.0,241.0,36.0,60.0,6.0,11.0,0.8,80.0
2016-09,83.0,307.5,53.5,92.0,12.0,25.0,0.89,95.0
2016-10,45.0,108.0,28.0,42.0,7.0,21.0,1.01,42.0
2016-11,72.0,183.5,50.5,75.5,9.0,27.5,1.435,37.5
2016-12,122.0,260.0,92.0,138.0,12.0,40.0,1.52,30.0
2017-01,125.0,267.0,92.0,135.0,12.0,34.0,1.42,49.0
2017-02,92.5,234.5,68.5,93.0,12.0,26.0,1.415,58.0
2017-03,77.0,238.0,54.0,92.0,11.0,27.0,1.69,69.0
2017-04,70.0,188.5,36.5,68.0,8.5,21.5,2.5149999999999997,81.5
2017-05,79.0,247.0,45.0,75.0,8.0,22.0,2.1,96.0
2017-06,60.0,191.5,36.5,53.0,4.0,21.0,0.84,89.0
2017-07,42.0,124.0,24.0,39.0,4.0,11.0,0.79,70.0
2017-08,50.0,172.0,30.0,45.0,3.0,12.0,0.97,70.0
2017-09,50.5,153.5,27.5,39.5,6.0,14.5,0.88,57.0
2017-10,42.5,124.5,26.5,39.5,6.0,12.5,0.905,52.5
2017-11,83.0,243.5,58.0,94.5,11.0,34.0,1.05,36.5
2017-12,102.0,243.0,75.0,97.0,15.0,42.0,1.27,32.0
2018-01,101.0,238.0,74.0,100.0,8.0,31.0,1.26,37.0
2018-02,85.0,247.5,60.5,97.0,10.0,29.0,1.205,56.0
2018-03,71.0,163.0,46.0,70.0,8.0,22.0,1.09,69.0
2018-04,76.5,191.0,43.0,87.0,7.0,19.0,0.905,81.5
2018-05,63.0,172.0,35.0,63.0,5.0,14.0,0.74,86.0
2018-06,68.0,214.0,31.0,49.0,5.0,15.0,0.715,108.0
2018-07,51.0,183.0,25.0,38.0,3.0,11.0,0.71,77.0
2018-08,52.0,201.0,26.0,38.0,3.0,10.0,0.8,88.0
2018-09,51.0,225.0,24.0,42.0,5.0,17.0,0.77,71.0
2018-10,61.0,218.0,31.0,59.0,7.0,27.0,0.64,67.0
2018-11,65.5,213.5,46.0,69.0,6.0,33.5,0.88,44.5
2018-12,92.0,248.0,66.0,93.0,7.0,30.0,1.04,27.0
2019-01,111.0,268.0,82.0,119.0,6.0,33.0,1.34,32.0
2019-02,100.5,257.0,72.5,95.0,6.0,18.0,1.17,41.5
2019-03,66.0,181.0,38.0,73.0,9.0,26.0,0.76,68.0
2019-04,60.5,182.5,29.0,58.0,7.5,17.0,0.835,83.5
2019-05,66.0,197.0,26.0,57.0,7.0,17.0,0.62,92.0
2019-06,65.0,257.0,22.0,41.0,4.0,14.0,0.72,109.0
2019-07,40.0,184.5,20.5,33.5,4.0,12.5,0.675,87.0
2019-08,43.5,196.0,18.5,33.0,4.5,11.0,0.795,91.5
2019-09,52.5,203.0,30.0,52.5,5.0,19.0,0.83,91.5
2019-10,48.0,148.0,27.0,47.0,4.0,24.0,0.75,52.0
2019-11,73.0,228.0,45.5,93.5,6.0,32.0,0.815,54.0
2019-12,89.0,273.0,66.0,100.0,6.0,34.0,1.12,27.0
2020-01,95.0,239.0,70.0,84.0,4.0,27.0,1.01,42.0
2020-02,53.0,190.0,37.0,50.0,4.0,11.0,1.06,61.0
2020-03,61.0,224.0,35.0,66.0,4.0,13.0,0.98,74.0
2020-04,56.0,195.0,29.0,58.5,6.5,19.5,0.93,87.5
2020-05,58.0,240.0,29.0,60.0,5.0,14.0,0.74,91.0
2020-06,35.0,162.0,17.0,31.5,3.0,10.5,0.84,74.0
2020-07,30.0,120.0,14.0,27.0,3.0,10.0,0.85,66.0
2020-08,30.0,149.0,14.0,27.0,4.0,9.0,0.97,68.0
2020-09,45.5,235.0,25.0,42.0,6.0,16.0,0.915,82.5
2020-10,60.0,238.0,37.0,65.0,6.0,27.0,0.85,54.0
2020-11,65.0,219.0,41.0,79.5,7.0,32.0,0.625,46.0
2020-12,103.0,256.0,76.0,108.0,7.0,37.0,0.9,36.0
2021-01,94.0,262.0,62.0,118.0,8.0,36.0,1.01,35.0
2021-02,67.0,248.5,44.5,69.5,7.0,17.0,0.95,55.5
2021-03,58.0,137.0,34.0,67.0,6.0,20.0,0.75,55.0
2021-04,49.5,171.0,27.5,51.0,7.0,20.0,0.64,68.0
2021-05,47.0,198.0,27.0,47.0,7.0,15.0,0.68,75.0
2021-06,47.0,219.5,21.5,44.5,6.0,10.0,0.685,85.0
2021-07,28.0,133.0,14.0,24.0,4.0,8.0,0.65,68.0
2021-08,34.0,180.0,16.0,28.0,4.0,9.0,0.77,71.0
2021-09,37.5,191.0,18.5,30.0,6.0,10.5,0.72,81.0
2021-10,47.0,240.0,28.0,48.0,8.0,17.0,0.7,58.0
2021-11,70.0,240.0,49.0,82.0,10.0,32.0,0.775,46.0
2021-12,85.0,267.0,62.0,89.0,9.0,36.0,1.01,37.0
2022-01,93.0,244.0,69.0,86.0,7.0,24.0,1.07,37.0
2022-02,63.5,244.0,45.5,58.0,8.0,17.5,0.725,61.5
2022-03,66.0,207.0,31.0,80.0,9.0,20.0,0.69,69.0
