年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,44,60,27,43,9,15,1.0,17
2015-02,34,30,17,33,11,13,1.14,17
2015-03,31,12,16,31,11,15,0.97,19
2015-04,29,4,14,27,11,18,0.38,25
2015-05,25,2,9,20,5,18,0.38,30
2015-06,20,1,9,17,6,13,0.47,14
2015-07,18,1,10,17,5,13,0.41,13
2015-08,17,2,6,12,6,16,0.5,35
2015-09,20,3,7,14,6,16,0.53,27
2015-10,25,16,10,22,9,17,0.5,30
2015-11,28,36,11,26,11,20,0.87,34
2015-12,38,36,18,39,11,22,0.63,17
2016-01,43,64,23,42,8,22,0.69,16
2016-02,37,14,21,35,6,18,0.71,24
2016-03,25,9,9,24,4,17,0.76,20
2016-04,37,12,13,31,4,17,0.8,39
2016-05,14,1,6,6,5,14,0.31,11
2016-06,36,64,8,25,16,13,0.32,38
2016-07,41,83,5,16,15,12,0.34,69
2016-08,35,53,10,23,15,14,0.43,45
2016-09,38,26,7,4,16,14,0.42,48
2016-10,37,54,13,29,11,16,0.56,51
2016-11,58,138,36,62,10,24,0.56,50
2016-12,61,119,38,68,9,24,0.72,31
2017-01,59,137,39,57,12,22,0.6,36
2017-02,51,103,31,52,10,22,0.42,54
2017-03,49,90,21,45,7,21,0.54,52
2017-04,41,17,20,36,5,18,0.43,54
2017-05,41,40,21,37,4,21,0.46,58
2017-06,37,73,22,32,4,15,0.32,37
2017-07,43,70,16,25,7,13,0.37,46
2017-08,34,77,12,24,8,15,0.34,64
2017-09,33,51,13,25,6,16,0.42,56
2017-10,30,6,11,14,3,17,0.31,41
2017-11,38,36,24,33,3,16,0.34,42
2017-12,50,54,30,50,4,20,0.52,45
2018-01,43,121,28,39,3,17,0.75,38
2018-02,44,71,25,42,13,18,0.52,44
2018-03,39,16,24,38,11,18,0.36,43
2018-04,36,22,14,21,11,17,0.34,53
2018-05,41,25,17,20,17,16,0.31,54
2018-06,29,6,11,16,7,13,0.25,44
2018-07,29,32,7,12,8,13,0.3,57
2018-08,32,47,11,15,13,11,0.36,55
2018-09,27,27,8,17,5,8,0.32,46
2018-10,24,9,10,18,6,11,0.24,31
2018-11,27,57,13,17,13,14,0.33,27
2018-12,37,41,25,31,11,11,0.47,31
2019-01,44,49,30,41,5,11,0.59,22
2019-02,29,17,19,23,4,10,0.6,24
2019-03,26,3,16,20,4,15,0.29,20
2019-04,29,4,11,18,5,11,0.36,38
2019-05,24,6,6,10,4,10,0.32,44
2019-06,18,16,6,13,5,11,0.31,40
2019-07,16,8,6,9,5,12,0.35,47
2019-08,19,9,4,9,6,9,0.34,50
2019-09,14,6,3,6,6,13,0.33,22
2019-10,15,3,4,6,6,14,0.3,19
2019-11,18,5,11,14,7,23,0.34,6
2019-12,32,66,21,30,6,24,0.47,11
2020-01,31,33,21,24,6,10,0.68,11
2020-02,24,27,14,16,5,8,0.32,26
2020-03,16,10,8,11,6,13,0.26,21
2020-04,14,12,6,8,7,14,0.22,24
2020-05,19,10,7,11,7,12,0.23,36
2020-06,17,13,3,6,4,10,0.24,42
2020-07,12,4,3,7,5,9,0.26,27
2020-08,13,11,4,5,5,5,0.25,32
2020-09,13,6,7,9,5,9,0.33,19
2020-10,12,4,4,7,5,13,0.32,13
2020-11,22,17,11,21,5,18,0.35,6
2020-12,19,12,13,15,5,19,0.49,10
2021-01,39,38,21,37,5,18,0.48,12
2021-02,18,12,9,13,5,9,0.33,34
2021-03,15,3,7,11,6,14,0.2,9
2021-04,16,3,6,12,5,14,0.32,24
2021-05,18,17,6,13,5,11,0.35,25
2021-06,14,4,4,7,5,8,0.27,24
2021-07,11,5,5,8,5,8,0.24,13
2021-08,16,23,5,9,6,8,0.3,21
2021-09,15,13,3,8,5,9,0.38,32
2021-10,11,5,3,5,6,13,0.3,17
2021-11,18,17,11,16,5,16,0.31,11
2021-12,26,19,15,21,4,15,0.53,11
2022-01,26,57,17,19,4,9,0.5,6
2022-02,21,11,14,15,4,8,0.5,29
2022-03,18,10,9,15,4,14,0.3,23
