年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,159.5,84.0,51.5,268.5,23.5,42.5,1.04,40.5
2013-11,89.0,54.5,51.5,120.5,40.0,42.5,1.0150000000000001,32.0
2013-12,117.0,60.0,90.0,197.0,93.0,51.0,1.22,21.0
2014-01,122.5,86.5,86.5,159.0,60.5,51.0,1.205,39.5
2014-02,83.5,86.0,61.0,97.0,42.5,39.0,1.06,58.0
2014-03,97.5,113.5,68.0,131.5,44.5,56.0,1.105,71.5
2014-04,80.5,90.5,43.5,105.0,23.5,35.0,0.78,90.5
2014-05,85.0,109.0,48.0,112.0,24.0,32.0,0.71,107.0
2014-06,65.5,81.5,33.0,72.0,13.0,20.0,0.505,96.0
2014-07,75.0,121.0,43.0,84.0,13.0,22.0,0.58,92.0
2014-08,67.0,112.0,33.0,73.0,19.0,31.0,0.65,89.0
2014-09,64.0,119.5,27.0,64.0,18.5,31.5,0.645,93.5
2014-10,77.0,82.0,40.0,96.0,20.0,36.0,0.72,81.0
2014-11,93.5,112.0,66.0,122.0,36.0,54.0,1.065,45.5
2014-12,86.0,90.0,60.0,110.0,61.0,58.0,1.03,32.0
2015-01,87.0,167.0,55.0,113.0,43.0,42.0,1.15,40.0
2015-02,91.0,186.5,59.5,105.0,36.0,38.0,1.1349999999999998,53.0
2015-03,79.0,192.0,44.0,96.0,21.0,32.0,0.87,76.0
2015-04,75.0,226.0,43.0,86.0,20.0,30.5,0.845,94.0
2015-05,70.0,205.0,32.0,77.0,20.0,30.0,0.78,95.0
2015-06,69.5,225.0,29.0,68.5,20.0,21.0,0.8300000000000001,97.5
2015-07,56.0,196.0,29.0,65.0,17.0,15.0,0.61,73.0
2015-08,63.0,208.0,31.0,70.0,18.0,21.0,0.64,74.0
2015-09,57.5,186.0,22.0,57.5,19.0,29.5,0.585,69.0
2015-10,73.0,214.0,40.0,93.0,20.0,32.0,0.75,84.0
2015-11,75.0,238.5,50.0,93.0,18.5,32.5,0.935,44.0
2015-12,107.0,257.0,80.0,117.0,45.0,45.0,1.27,34.0
2016-01,86.0,224.0,61.0,97.0,42.0,37.0,1.15,41.0
2016-02,78.0,208.0,53.0,93.0,28.0,32.0,1.02,58.0
2016-03,79.0,215.0,47.0,102.0,22.0,35.0,0.82,66.0
2016-04,81.0,248.0,42.5,104.5,21.5,37.0,0.735,83.0
2016-05,67.0,215.0,37.0,81.0,18.0,34.0,0.67,80.0
2016-06,52.0,179.0,24.0,48.0,11.0,22.5,0.53,90.0
