年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,500,189,117,215,44,44,3.01,56
2014-01,388,189,375,467,61,61,4.31,48
2014-02,243,163,193,267,43,35,3.36,55
2014-03,201,182,1033,224,43,54,2.01,65
2014-04,118,156,89,158,29,38,1.43,72
2014-05,301,189,239,392,46,37,2.28,91
2014-06,178,188,134,197,43,32,2.02,96
2014-07,133,181,100,169,22,24,1.61,65
2014-08,111,179,83,118,19,28,1.38,54
2014-09,117,169,87,140,42,46,1.74,79
2014-10,156,173,117,189,68,67,1.8,62
2014-11,154,187,116,149,59,56,2.34,39
2014-12,121,407,91,145,74,66,1.97,27
2015-01,267,413,216,244,67,75,2.56,32
2015-02,198,344,154,182,81,61,1.99,49
2015-03,184,347,140,155,58,55,1.61,54
2015-04,109,311,79,161,44,72,1.83,78
2015-05,131,310,99,131,37,48,1.84,89
2015-06,141,341,106,139,39,47,1.49,99
2015-07,130,357,98,132,29,49,1.43,112
2015-08,115,358,85,120,31,30,1.58,106
2015-09,95,342,70,115,41,42,2.0,86
2015-10,221,348,172,234,41,60,2.65,72
2015-11,170,338,128,152,37,58,2.07,68
2015-12,274,349,224,265,38,64,2.8,41
2016-01,225,352,179,240,31,58,2.66,41
2016-02,156,348,119,175,50,47,2.64,58
2016-03,194,341,151,188,49,69,2.08,53
2016-04,116,301,87,142,30,45,2.13,105
2016-05,177,350,87,274,25,39,1.37,129
2016-06,93,323,67,100,25,35,1.25,110
2016-07,96,342,63,105,34,32,1.46,129
2016-08,104,349,54,98,34,42,1.76,144
2016-09,108,335,64,104,29,37,1.22,138
2016-10,89,336,63,96,29,39,1.7,100
2016-11,114,255,86,157,40,57,1.84,89
2016-12,161,296,121,214,47,79,2.4,48
2017-01,212,279,163,212,30,95,2.39,57
2017-02,132,347,99,151,35,75,1.83,104
2017-03,122,323,92,153,29,70,1.83,103
2017-04,113,340,82,136,29,62,1.53,152
2017-05,156,345,96,251,35,53,1.27,177
2017-06,146,350,93,112,17,31,1.2,181
2017-07,126,362,58,115,23,34,1.29,170
2017-08,93,346,48,93,18,34,1.53,111
2017-09,105,349,64,118,26,47,1.62,121
2017-10,133,342,100,160,50,66,1.66,129
2017-11,144,349,109,167,32,76,1.71,70
2017-12,280,359,230,288,48,118,2.16,52
2018-01,257,357,206,254,37,89,2.1,90
2018-02,201,352,154,180,35,89,1.72,80
2018-03,124,332,94,132,25,63,1.47,108
2018-04,145,345,82,220,30,57,1.51,159
2018-05,122,344,91,165,20,54,1.24,133
2018-06,116,352,56,98,20,40,1.13,170
2018-07,84,335,43,82,18,38,1.33,119
2018-08,93,355,52,81,17,26,1.24,151
2018-09,92,363,45,97,24,47,1.44,123
2018-10,97,328,61,101,26,48,1.14,130
2018-11,181,350,136,200,22,74,2.25,77
2018-12,155,335,117,192,25,73,1.88,37
2019-01,204,359,156,193,21,86,1.75,58
2019-02,194,304,151,184,21,63,1.81,76
2019-03,129,354,96,144,27,62,1.4,93
2019-04,108,319,68,117,20,52,1.19,111
2019-05,112,350,67,110,24,50,1.16,166
2019-06,108,355,48,78,17,44,1.09,164
2019-07,74,302,35,63,11,33,1.13,137
2019-08,77,347,32,58,13,38,1.0,152
2019-09,95,353,61,116,23,67,1.38,127
2019-10,227,362,92,320,26,65,1.34,112
2019-11,127,307,96,155,24,84,1.54,99
2019-12,150,356,112,157,29,82,1.58,44
2020-01,201,356,154,158,23,63,1.81,70
2020-02,115,346,87,107,16,43,1.28,78
2020-03,93,348,65,114,17,47,1.17,76
2020-04,89,329,55,113,26,62,1.14,112
2020-05,79,337,48,93,17,41,1.11,140
2020-06,70,297,33,69,12,36,1.23,119
2020-07,60,340,41,69,20,37,1.24,122
2020-08,55,339,34,61,14,40,1.19,113
2020-09,76,344,52,91,16,60,1.15,138
2020-10,90,302,66,120,17,78,0.95,103
2020-11,96,336,57,137,22,66,1.44,66
2020-12,176,349,133,161,26,89,1.5,43
2021-01,151,339,114,176,19,76,1.79,55
2021-02,126,355,95,137,21,53,1.51,83
2021-03,151,345,69,216,23,51,1.26,121
2021-04,122,335,53,195,16,52,1.28,116
2021-05,95,316,46,140,16,44,1.16,142
2021-06,74,346,39,70,12,40,1.18,163
2021-07,65,348,42,70,8,31,1.35,131
2021-08,73,364,39,66,10,33,1.23,136
2021-09,76,362,49,78,13,41,1.32,141
2021-10,88,352,61,115,17,73,1.46,123
2021-11,99,343,73,125,17,65,1.09,83
2021-12,148,356,112,140,20,81,1.79,69
2022-01,173,318,131,158,16,76,1.48,65
2022-02,118,327,89,103,16,58,1.14,91
2022-03,142,330,99,166,18,48,1.25,104
