年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,64,121,43,55,16,25,0.53,5
2015-02,63,105,40,69,18,9,0.54,15
2015-03,58,103,31,64,13,16,0.31,27
2015-04,62,135,42,55,18,18,0.32,36
2015-05,64,200,24,68,15,10,0.32,41
2015-06,28,26,4,17,10,9,0.2,35
2015-07,42,99,14,40,14,8,0.25,47
2015-08,49,141,16,47,7,8,0.26,44
2015-09,40,99,16,32,10,13,0.34,40
2015-10,48,109,15,48,19,19,0.18,20
2015-11,45,145,30,41,11,27,0.48,12
2015-12,45,114,14,45,22,23,0.4,9
2016-01,67,212,20,83,23,20,0.43,5
2016-02,37,87,14,33,29,12,0.56,23
2016-03,69,130,33,79,17,23,0.58,40
2016-04,54,143,19,53,12,18,0.46,38
2016-05,47,116,20,44,15,16,0.4,49
2016-06,53,180,12,38,8,12,0.41,53
2016-07,29,41,7,12,7,7,0.29,40
2016-08,35,52,11,30,9,16,0.33,51
2016-09,54,148,20,57,7,21,0.59,20
2016-10,29,36,19,27,7,20,0.54,16
2016-11,52,127,28,53,8,19,0.32,6
2016-12,70,136,49,78,15,34,0.79,8
2017-01,64,135,30,60,13,15,0.67,7
2017-02,55,108,34,62,10,16,0.88,26
2017-03,62,150,27,70,10,18,0.61,23
2017-04,58,86,24,61,11,18,0.86,37
2017-05,52,132,21,43,7,12,0.5,56
2017-06,45,116,18,31,7,14,0.58,59
2017-07,28,47,8,12,2,6,0.42,45
2017-08,23,25,12,18,3,7,0.7,38
2017-09,26,29,12,19,4,10,0.57,38
2017-10,38,77,24,36,4,17,0.54,16
2017-11,62,171,32,72,9,24,0.3,9
2017-12,46,58,25,46,7,24,0.34,3
2018-01,53,134,30,55,7,21,0.56,12
2018-02,63,130,26,71,8,17,0.61,26
2018-03,56,141,30,61,8,21,0.76,20
2018-04,46,100,26,44,8,17,0.55,28
2018-05,36,49,24,26,6,12,0.39,48
2018-06,45,169,15,33,7,9,0.48,64
2018-07,33,52,10,26,8,11,0.42,28
2018-08,26,28,11,11,8,10,0.45,48
2018-09,44,145,20,36,3,17,0.28,21
2018-10,47,127,19,43,3,18,0.22,26
2018-11,45,144,31,39,2,21,0.55,12
2018-12,57,223,36,62,4,22,0.38,2
2019-01,70,122,35,83,3,19,0.43,10
2019-02,71,192,51,74,3,7,0.42,22
2019-03,56,170,27,60,3,14,0.26,50
2019-04,50,110,23,39,2,10,0.37,33
2019-05,49,116,16,34,2,9,0.1,51
2019-06,35,197,17,32,2,8,0.35,68
2019-07,27,78,12,26,3,16,0.33,58
2019-08,36,89,14,23,3,11,0.39,66
2019-09,34,122,22,32,4,14,0.45,34
2019-10,27,70,18,22,4,16,0.3,27
2019-11,39,85,19,40,5,18,0.23,7
2019-12,44,60,25,38,3,24,0.34,2
2020-01,65,207,47,55,3,13,0.67,10
2020-02,27,94,13,25,1,9,0.44,29
2020-03,31,93,16,30,2,12,0.38,23
2020-04,41,45,18,38,2,15,0.3,26
2020-05,29,79,15,22,4,8,0.17,54
2020-06,26,120,6,11,2,6,0.15,68
2020-07,21,58,10,12,3,6,0.25,60
2020-08,23,65,10,17,3,6,0.21,36
2020-09,36,135,14,25,4,9,0.31,44
2020-10,37,165,19,32,4,14,0.33,8
2020-11,26,68,18,17,4,17,0.43,13
2020-12,32,39,20,29,5,11,0.34,18
2021-01,47,79,24,48,5,16,0.42,12
2021-02,36,40,21,32,5,8,0.41,20
2021-03,42,92,20,31,4,12,0.31,32
2021-04,42,177,19,40,4,10,0.3,40
2021-05,29,106,19,24,5,9,0.22,30
2021-06,26,91,14,21,6,7,0.22,48
2021-07,19,41,9,13,5,5,0.35,45
2021-08,20,57,10,14,5,5,0.31,24
2021-09,23,102,11,17,5,5,0.38,47
2021-10,17,56,11,14,6,11,0.39,27
2021-11,34,65,15,33,6,16,0.4,23
2021-12,47,114,23,46,7,15,0.42,23
2022-01,75,174,55,72,7,17,0.6,9
2022-02,52,162,36,41,4,11,0.4,18
2022-03,38,131,26,32,4,13,0.37,37
