年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,21,1,6,17,8,4,0.37,17
2015-02,25,1,7,19,16,4,0.4,30
2015-03,20,1,7,17,25,4,0.78,30
2015-04,38,28,17,34,14,11,0.17,43
2015-05,30,8,14,25,3,5,0.13,34
2015-06,30,16,12,16,3,8,0.21,45
2015-07,23,2,11,14,2,4,0.26,40
2015-08,21,6,11,15,4,8,0.39,26
2015-09,25,14,9,21,7,9,0.21,20
2015-10,24,2,10,19,9,4,0.44,32
2015-11,23,1,11,19,7,9,0.76,22
2015-12,23,5,10,16,9,7,0.48,32
2016-01,25,2,9,16,11,12,0.54,28
2016-02,29,3,11,18,10,6,0.86,39
2016-03,31,7,13,26,14,9,0.4,44
2016-04,23,1,8,13,11,4,0.54,42
2016-05,23,2,8,17,7,7,0.45,37
2016-06,20,1,8,15,18,6,0.32,28
2016-07,20,6,8,17,6,10,0.39,27
2016-08,19,8,9,18,4,8,0.61,20
2016-09,27,18,9,19,1,10,0.36,21
2016-10,27,26,10,24,2,9,0.33,30
2016-11,32,34,17,28,2,11,0.65,18
2016-12,31,4,14,28,4,10,0.54,20
2017-01,30,14,12,27,2,5,0.34,29
2017-02,34,5,12,28,3,6,0.3,42
2017-03,33,11,14,22,3,7,0.29,35
2017-04,31,8,15,27,4,9,0.33,44
2017-05,34,10,14,21,1,3,0.2,40
2017-06,26,9,13,21,2,6,0.2,27
2017-07,37,40,18,31,1,4,0.14,33
2017-08,26,19,12,24,1,4,0.16,17
2017-09,29,16,12,27,1,6,0.19,17
2017-10,27,24,13,26,1,8,0.18,27
2017-11,29,17,13,26,2,5,0.28,15
2017-12,31,3,12,20,1,7,0.29,22
2018-01,25,2,12,21,2,5,0.26,15
2018-02,35,3,18,28,2,6,0.29,27
2018-03,38,18,13,19,2,6,0.31,40
2018-04,36,6,13,19,2,7,0.23,48
2018-05,31,7,12,18,1,7,0.28,47
2018-06,22,3,11,20,2,7,0.3,30
2018-07,20,2,11,17,1,5,0.32,20
2018-08,20,6,9,14,1,8,0.39,27
2018-09,20,11,9,17,2,6,0.3,16
2018-10,19,3,10,17,2,8,0.29,21
2018-11,20,1,10,12,1,6,0.31,14
2018-12,26,10,12,22,2,6,0.28,14
2019-01,28,2,13,22,3,6,0.2,8
2019-02,36,64,15,30,2,6,0.47,36
2019-03,34,11,16,22,4,5,0.37,41
2019-04,31,15,13,21,2,8,0.31,52
2019-05,25,3,10,17,2,5,0.34,43
2019-06,14,5,9,10,2,6,0.35,16
2019-07,17,7,8,16,2,7,0.26,20
2019-08,20,16,11,17,3,10,0.34,16
2019-09,21,31,9,20,2,7,0.23,20
2019-10,21,28,11,19,2,10,0.22,15
2019-11,20,8,10,19,2,9,0.21,18
2019-12,23,10,13,22,2,9,0.62,17
2020-01,29,18,18,22,2,10,0.65,21
2020-02,22,28,12,14,2,5,0.57,48
2020-03,19,5,9,12,2,4,0.28,36
2020-04,19,8,10,8,3,8,0.27,52
2020-05,16,4,5,11,5,10,0.34,43
2020-06,12,3,4,9,2,9,0.32,19
2020-07,13,8,7,10,3,12,0.36,27
2020-08,8,5,4,5,2,9,0.27,17
2020-09,13,7,3,9,2,9,0.3,18
2020-10,13,5,5,11,2,14,0.15,22
2020-11,17,5,6,14,1,15,0.15,18
2020-12,36,60,12,36,2,17,0.25,21
2021-01,28,22,18,26,4,17,0.45,17
2021-02,23,11,12,17,2,13,0.43,38
2021-03,23,7,10,17,4,13,0.28,47
2021-04,26,27,7,21,4,15,0.23,53
2021-05,17,4,6,10,4,16,0.3,43
2021-06,17,10,5,13,6,15,0.35,38
2021-07,17,11,6,16,6,14,0.35,25
2021-08,12,6,4,8,5,12,0.33,23
2021-09,11,6,4,6,5,16,0.19,16
2021-10,22,36,6,21,3,15,0.1,21
2021-11,21,21,11,20,4,18,0.32,16
2021-12,24,18,9,20,4,17,0.21,19
2022-01,29,25,17,26,7,20,0.18,21
2022-02,28,16,15,20,6,16,0.16,39
2022-03,23,4,9,17,3,15,0.15,43
