年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,113.0,233.0,84.0,137.0,79.0,72.0,1.82,20.0
2015-02,99.5,224.0,63.5,134.0,65.0,57.0,1.84,38.0
2015-03,93.0,262.0,54.0,134.0,49.0,49.0,1.39,48.0
2015-04,82.5,246.5,43.0,109.0,40.5,51.0,1.005,56.5
2015-05,93.0,285.0,60.0,118.0,37.0,51.0,1.14,75.0
2015-06,78.0,286.5,49.5,84.0,33.0,45.0,1.045,71.0
2015-07,88.0,310.0,59.0,89.0,13.0,23.0,0.52,65.0
2015-08,70.0,257.0,39.0,80.0,17.0,23.0,1.02,58.0
2015-09,74.5,258.0,35.0,83.5,26.0,44.5,1.1749999999999998,66.0
2015-10,82.0,233.0,42.0,109.0,42.0,49.0,1.48,35.0
2015-11,126.5,317.0,95.5,125.5,41.5,46.0,1.5950000000000002,27.5
2015-12,154.0,318.0,117.0,176.0,62.0,63.0,2.43,32.0
2016-01,143.0,310.0,108.0,165.0,76.0,72.0,2.77,22.0
2016-02,117.0,261.0,81.0,130.0,58.0,62.0,2.87,40.0
2016-03,111.0,279.0,76.0,164.0,64.0,63.0,1.87,60.0
2016-04,98.5,297.0,60.0,128.5,43.5,51.5,1.065,66.5
2016-05,73.0,226.0,40.0,76.0,29.0,44.0,0.89,85.0
2016-06,78.0,297.5,47.0,78.5,23.0,38.5,1.17,89.0
2016-07,73.0,295.0,44.0,74.0,18.0,27.0,1.42,85.0
2016-08,59.0,232.0,29.0,50.0,26.0,26.0,1.4,80.0
2016-09,78.0,296.5,43.5,83.0,30.0,41.5,1.345,76.5
2016-10,75.0,285.0,40.0,92.0,26.0,48.0,1.51,32.0
2016-11,143.0,333.5,104.5,182.5,43.0,54.0,2.4699999999999998,23.5
2016-12,183.0,337.0,139.0,210.0,54.0,62.0,3.29,18.0
2017-01,205.0,331.0,158.0,234.0,65.0,71.0,3.79,23.0
2017-02,109.0,264.0,78.0,129.5,44.5,49.5,2.1799999999999997,41.0
2017-03,80.0,258.0,48.0,107.0,28.0,45.0,1.24,57.0
2017-04,86.0,271.0,40.0,118.0,27.5,44.0,1.225,67.0
2017-05,101.0,302.0,40.0,117.0,25.0,37.0,1.06,112.0
2017-06,104.0,332.5,45.5,93.5,20.0,31.0,1.205,141.5
2017-07,74.0,305.0,39.0,77.0,15.0,27.0,1.16,98.0
2017-08,77.0,322.0,41.0,76.0,22.0,28.0,1.42,97.0
2017-09,86.0,314.5,42.0,100.0,19.0,45.0,1.085,82.0
2017-10,77.0,277.5,52.5,94.5,14.0,45.5,1.25,40.5
2017-11,95.5,279.5,63.0,132.0,18.0,67.5,1.44,31.0
2017-12,86.0,220.0,61.0,115.0,22.0,64.0,1.9,28.0
2018-01,108.0,276.0,78.0,118.0,24.0,53.0,1.6,29.0
2018-02,87.0,232.0,48.5,121.5,20.0,44.0,1.4649999999999999,51.0
2018-03,110.0,303.0,72.0,138.0,17.0,44.0,1.26,68.0
2018-04,99.5,293.5,44.0,128.0,18.5,40.5,1.15,79.0
2018-05,90.0,295.0,38.0,103.0,18.0,34.0,1.09,113.0
2018-06,99.0,330.0,35.5,78.0,16.0,28.0,1.065,144.0
2018-07,71.0,303.0,29.0,60.0,14.0,21.0,1.09,104.0
2018-08,72.0,309.0,28.0,60.0,14.0,19.0,1.28,114.0
2018-09,64.0,302.0,27.0,69.0,12.0,36.0,1.07,70.0
2018-10,78.0,305.0,45.0,102.0,14.0,49.0,1.02,52.0
2018-11,119.0,306.0,83.0,151.5,14.0,53.5,1.595,22.5
2018-12,107.0,296.0,69.0,144.0,17.0,54.0,1.38,19.0
2019-01,146.0,303.0,107.0,158.0,18.0,62.0,1.53,21.0
