年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,351,352,308,330,204,201,3.99,40
2015-02,239,346,190,273,109,87,4.02,59
2015-03,173,340,108,265,106,97,3.49,82
2015-04,142,347,93,213,72,79,1.71,97
2015-05,142,351,107,148,67,64,2.74,126
2015-06,134,339,82,152,80,77,4.05,125
2015-07,207,365,162,181,46,51,1.49,113
2015-08,113,354,76,144,30,48,2.25,86
2015-09,125,348,92,193,46,72,1.93,99
2015-10,204,362,137,313,72,86,2.96,102
2015-11,264,363,216,305,119,99,4.23,66
2015-12,441,362,399,518,143,178,6.51,44
2016-01,436,361,383,525,158,174,5.03,33
2016-02,208,352,147,318,130,111,5.94,58
2016-03,258,357,169,378,101,105,3.67,93
2016-04,149,356,111,226,62,82,1.87,95
2016-05,112,328,81,145,55,77,2.72,104
2016-06,107,353,73,122,60,59,1.96,137
2016-07,120,362,81,217,34,47,2.76,133
2016-08,82,327,43,79,50,38,2.09,120
2016-09,123,351,72,194,51,60,2.5,142
2016-10,151,353,107,236,58,80,2.69,106
2016-11,371,365,280,459,105,96,5.02,45
2016-12,460,362,442,528,107,139,8.52,37
2017-01,300,357,249,354,112,124,12.31,65
2017-02,353,361,303,415,90,85,6.02,71
2017-03,144,340,107,200,57,78,2.04,89
2017-04,136,342,103,172,42,60,1.63,110
2017-05,312,352,91,423,56,52,2.13,154
2017-06,137,363,74,163,44,50,2.12,194
2017-07,121,348,85,149,33,41,2.93,162
2017-08,108,362,63,119,37,50,2.73,157
2017-09,119,355,87,169,31,72,1.8,118
2017-10,143,354,107,170,24,87,2.89,65
2017-11,180,347,136,227,32,88,3.24,51
2017-12,236,355,189,277,59,104,3.9,55
2018-01,275,354,224,334,76,125,4.59,51
2018-02,239,355,188,288,55,71,2.88,82
2018-03,211,352,161,239,32,80,2.28,104
2018-04,160,333,101,233,35,85,2.15,137
2018-05,121,349,68,154,28,59,1.64,160
2018-06,131,351,46,137,25,51,1.88,180
2018-07,116,362,63,122,19,41,2.32,157
2018-08,114,360,54,112,25,37,1.85,160
2018-09,80,350,45,84,22,48,2.47,107
2018-10,110,348,80,139,24,60,1.61,92
2018-11,243,358,156,361,32,78,2.64,73
2018-12,222,341,174,290,49,93,3.54,29
2019-01,262,350,211,287,47,110,3.17,40
2019-02,312,364,266,302,39,78,2.55,75
2019-03,180,339,140,183,24,56,1.24,89
2019-04,135,356,101,207,28,60,1.67,119
2019-05,112,348,61,172,18,41,0.61,133
2019-06,112,359,58,106,18,48,0.86,228
2019-07,122,361,69,95,13,35,0.74,184
2019-08,92,362,66,106,22,46,1.88,100
2019-09,100,362,61,115,19,56,1.36,149
2019-10,169,355,108,241,17,67,1.86,121
2019-11,267,365,217,268,30,101,2.55,63
2019-12,287,363,237,258,24,80,3.06,35
2020-01,346,364,299,315,26,90,3.75,82
2020-02,167,348,126,135,24,45,2.06,77
2020-03,160,353,123,164,21,55,1.48,86
2020-04,100,365,62,146,21,55,0.97,119
2020-05,121,346,77,169,18,40,1.1,139
2020-06,120,361,45,153,20,57,1.05,178
2020-07,101,366,74,141,13,36,1.37,141
2020-08,76,358,45,86,15,32,1.39,133
2020-09,99,360,73,126,18,50,1.43,150
2020-10,160,363,121,184,25,81,1.39,83
2020-11,248,365,199,236,29,71,1.86,76
2020-12,247,358,198,251,32,81,3.08,34
2021-01,246,347,196,335,42,75,3.13,65
2021-02,252,365,205,227,23,51,2.11,84
2021-03,382,355,182,827,15,46,1.46,72
2021-04,443,364,107,577,17,42,1.15,101
2021-05,238,365,85,360,23,29,1.02,141
2021-06,105,365,63,136,20,38,1.46,173
2021-07,79,362,37,68,8,21,1.48,144
2021-08,83,363,56,99,11,28,1.04,131
2021-09,92,364,62,116,17,36,1.98,123
2021-10,174,366,134,196,15,61,2.04,98
2021-11,247,364,197,250,21,63,1.63,49
2021-12,224,360,175,225,15,67,2.52,39
2022-01,250,335,200,225,22,63,2.38,64
2022-02,141,330,107,157,13,55,1.08,71
2022-03,391,336,144,494,11,50,1.46,82
