年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,245,341,200,235,24,73,4.66,77
2015-02,235,361,121,234,18,64,3.33,89
2015-03,120,317,84,180,13,39,1.5,208
2015-04,119,352,73,154,18,34,1.35,112
2015-05,102,326,74,129,11,21,0.9,114
2015-06,147,364,111,131,8,24,0.96,112
2015-07,102,340,71,141,7,18,2.66,100
2015-08,97,360,70,123,3,10,2.09,94
2015-09,60,158,27,57,8,17,1.18,67
2015-10,172,363,139,176,17,16,2.01,70
2015-11,188,347,149,192,23,37,2.63,86
2015-12,117,262,88,112,41,49,3.35,61
2016-01,91,177,66,95,27,48,1.97,62
2016-02,95,273,67,112,34,34,2.43,80
2016-03,107,220,79,120,22,22,2.16,81
2016-04,142,333,106,141,11,73,1.57,98
2016-05,99,335,73,102,15,23,1.3,145
2016-06,98,347,68,117,5,17,1.36,90
2016-07,81,341,49,107,5,14,0.62,92
2016-08,94,361,66,101,4,11,0.82,58
2016-09,80,342,56,103,7,11,0.95,62
2016-10,116,352,79,166,16,27,1.38,91
2016-11,140,335,101,164,20,41,1.62,62
2016-12,137,315,103,170,28,49,2.18,60
2017-01,168,317,130,210,28,53,2.56,64
2017-02,107,246,78,121,19,35,1.44,84
2017-03,76,183,50,96,14,28,1.06,88
2017-04,140,352,97,206,16,37,1.26,99
2017-05,127,308,40,203,9,21,0.79,129
2017-06,60,249,29,54,8,21,0.59,90
2017-07,57,240,26,55,7,16,0.71,95
2017-08,73,322,52,79,10,17,0.79,70
2017-09,51,163,18,55,7,20,0.69,68
2017-10,463,366,498,584,16,60,2.17,64
2017-11,253,362,203,332,16,48,2.2,70
2017-12,147,306,111,187,26,55,2.26,80
2018-01,104,174,74,143,24,40,1.68,75
2018-02,95,333,67,123,23,36,1.19,92
2018-03,86,221,52,95,19,26,1.13,105
2018-04,114,298,65,171,12,29,1.08,123
2018-05,102,333,64,100,10,20,0.84,126
2018-06,99,278,51,125,13,23,0.77,121
2018-07,63,267,28,54,9,26,0.77,103
2018-08,49,204,19,50,10,19,0.63,60
2018-09,55,247,22,61,12,20,0.67,58
2018-10,82,276,31,112,14,32,0.84,62
2018-11,124,331,91,180,18,78,1.46,68
2018-12,133,316,101,159,18,47,1.38,69
2019-01,126,220,91,150,15,33,1.38,71
2019-02,285,364,238,288,18,31,1.37,83
2019-03,146,306,112,139,14,19,0.84,82
2019-04,107,328,35,137,8,17,0.67,93
2019-05,120,331,37,168,8,13,0.7,125
2019-06,55,224,26,59,10,19,0.62,86
2019-07,39,200,21,39,8,14,0.62,61
2019-08,30,70,18,27,7,9,0.66,62
2019-09,61,228,22,73,12,22,0.86,79
2019-10,81,305,36,112,15,35,0.95,86
2019-11,76,208,44,101,19,33,0.97,64
2019-12,94,280,69,116,20,35,1.53,56
2020-01,118,262,88,145,23,38,1.84,71
2020-02,85,294,62,94,20,23,1.33,76
2020-03,87,305,64,103,12,22,0.99,81
2020-04,343,366,329,416,20,57,1.89,84
2020-05,83,343,58,104,10,21,0.81,117
2020-06,39,188,18,39,7,16,0.6,82
2020-07,57,327,27,65,9,16,0.79,92
2020-08,55,327,19,64,9,16,0.68,80
2020-09,42,193,21,41,9,18,0.66,70
2020-10,73,288,31,98,15,30,0.86,62
2020-11,70,287,45,93,14,33,1.13,59
2020-12,93,244,60,134,18,33,1.2,55
2021-01,97,244,72,120,16,43,1.93,57
2021-02,95,245,70,87,15,28,1.07,78
2021-03,95,259,45,144,15,33,0.94,84
2021-04,262,363,213,299,19,59,1.41,131
2021-05,75,308,34,97,11,22,0.65,116
2021-06,56,321,22,54,8,18,0.71,134
2021-07,43,325,29,42,9,17,0.76,78
2021-08,53,345,19,58,9,16,0.68,93
2021-09,42,300,20,44,10,24,0.72,58
2021-10,85,340,54,116,17,37,1.35,68
2021-11,74,288,51,97,15,44,1.07,59
2021-12,77,223,55,96,13,48,1.22,66
2022-01,71,174,47,94,17,44,1.1,76
2022-02,67,252,44,81,19,30,0.98,100
2022-03,64,198,39,78,13,30,0.98,97
