年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,20,8,10,15,12,25,0.49,7
2015-02,18,1,5,9,12,10,0.47,8
2015-03,22,2,7,19,12,8,0.5,12
2015-04,27,2,6,12,11,6,0.39,17
2015-05,36,22,14,22,13,10,0.39,33
2015-06,29,10,9,15,12,4,0.43,32
2015-07,27,33,8,13,12,4,0.39,32
2015-08,19,3,6,13,13,6,0.41,37
2015-09,23,5,11,21,14,9,0.48,25
2015-10,28,19,16,20,12,11,0.46,24
2015-11,20,2,11,13,12,15,0.44,6
2015-12,29,53,18,13,17,19,0.36,11
2016-01,20,14,13,5,16,17,0.37,9
2016-02,37,49,24,22,18,10,0.41,34
2016-03,32,47,10,15,25,16,0.39,15
2016-04,25,3,11,19,16,14,0.5,34
2016-05,37,16,13,16,14,12,0.43,39
2016-06,22,12,10,18,12,8,0.41,24
2016-07,24,10,8,18,9,6,0.35,33
2016-08,29,41,11,23,11,8,0.38,41
2016-09,15,4,7,12,12,8,0.38,27
2016-10,16,3,7,11,19,12,0.39,15
2016-11,12,1,7,9,12,15,0.36,7
2016-12,32,27,20,13,18,22,0.46,9
2017-01,22,3,13,16,11,13,0.5,4
2017-02,31,25,22,12,9,15,0.44,25
2017-03,26,3,14,9,13,19,0.36,14
2017-04,29,8,10,10,12,11,0.49,44
2017-05,29,11,12,17,11,11,0.47,48
2017-06,20,2,10,15,11,10,0.48,27
2017-07,20,6,5,15,10,5,0.36,21
2017-08,26,8,9,17,11,8,0.3,34
2017-09,29,22,14,25,12,10,0.43,29
2017-10,21,8,6,11,13,15,0.34,16
2017-11,22,4,10,16,13,21,0.41,5
2017-12,23,15,15,10,13,21,0.49,6
2018-01,18,1,10,0,5,14,0.33,3
2018-02,20,4,14,8,7,11,0.46,15
2018-03,17,3,10,11,6,15,0.25,25
2018-04,27,7,10,14,5,17,0.4,27
2018-05,35,13,10,12,6,7,0.26,50
2018-06,26,26,10,12,4,5,0.31,40
2018-07,28,27,6,11,5,4,0.31,32
2018-08,21,4,6,18,2,6,0.45,34
2018-09,25,47,8,15,6,7,0.37,34
2018-10,29,43,19,7,6,17,0.31,17
2018-11,13,2,7,10,7,14,0.31,9
2018-12,15,8,4,1,4,13,0.24,10
2019-01,19,7,9,0,4,20,0.41,5
2019-02,12,2,5,3,3,4,0.29,10
2019-03,16,3,10,4,6,9,0.34,14
2019-04,30,11,14,10,6,6,0.29,32
2019-05,29,30,14,14,3,8,0.27,39
2019-06,25,25,6,9,3,5,0.29,24
2019-07,16,3,7,9,2,6,0.24,30
2019-08,25,37,11,21,4,9,0.23,45
2019-09,26,94,17,20,6,11,0.3,42
2019-10,42,184,23,33,5,15,0.39,10
2019-11,21,23,14,12,8,14,0.23,6
2019-12,22,21,15,10,10,22,0.3,4
2020-01,14,28,5,5,3,3,0.28,4
2020-02,18,30,8,7,5,2,0.26,19
2020-03,18,21,3,7,5,11,0.34,21
2020-04,34,89,14,15,8,12,0.33,45
2020-05,24,18,12,14,8,9,0.38,52
2020-06,18,26,4,12,5,6,0.23,30
2020-07,19,27,5,7,4,7,0.23,35
2020-08,15,29,4,12,4,8,0.21,35
2020-09,21,61,8,12,4,10,0.36,38
2020-10,20,24,13,13,4,10,0.32,37
2020-11,18,29,12,10,7,17,0.37,3
2020-12,30,58,20,13,5,14,0.35,9
2021-01,35,46,17,32,6,21,0.27,7
2021-02,13,5,4,6,5,7,0.37,18
2021-03,15,3,8,11,7,15,0.49,11
2021-04,16,7,8,14,6,12,0.33,25
2021-05,19,9,2,12,4,5,0.2,29
2021-06,16,12,1,10,5,4,0.25,29
2021-07,18,28,2,13,4,6,0.25,32
2021-08,16,34,3,12,4,8,0.39,33
2021-09,25,29,7,18,4,9,0.41,51
2021-10,14,26,2,8,4,10,0.29,35
2021-11,22,32,11,20,3,9,0.21,7
2021-12,27,34,18,14,4,12,0.32,18
2022-01,12,2,4,7,1,4,0.4,9
2022-02,10,1,4,8,2,4,0.34,23
2022-03,16,2,2,9,4,7,0.21,24
