年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,231,363,89,342,63,24,0.99,73
2015-02,207,354,102,307,46,26,1.36,88
2015-03,277,361,94,391,49,18,2.82,109
2015-04,274,357,178,322,22,13,2.56,115
2015-05,189,364,85,297,16,12,4.87,111
2015-06,135,360,101,163,12,15,0.64,97
2015-07,78,331,56,80,9,12,0.62,106
2015-08,152,354,115,182,12,12,0.59,101
2015-09,167,358,142,166,17,16,0.73,90
2015-10,98,352,72,115,40,19,0.77,82
2015-11,171,366,105,226,55,35,1.21,63
2015-12,134,297,101,168,77,32,1.15,108
2016-01,208,359,111,262,90,59,1.15,86
2016-02,404,363,159,523,50,10,0.78,98
2016-03,346,361,129,490,16,7,0.8,105
2016-04,149,362,61,227,15,12,0.68,117
2016-05,214,358,85,301,17,15,0.52,124
2016-06,77,322,48,89,17,16,0.48,124
2016-07,104,344,69,100,17,15,0.53,133
2016-08,114,363,85,72,19,8,0.55,132
2016-09,59,168,40,55,12,13,0.45,103
2016-10,103,343,67,146,25,29,1.72,79
2016-11,110,340,74,166,57,24,2.04,84
2016-12,103,238,72,140,77,40,1.38,77
2017-01,316,359,124,406,63,26,1.69,83
2017-02,98,337,71,132,53,31,2.3,83
2017-03,126,340,64,161,27,24,0.97,102
2017-04,101,328,58,150,22,22,1.18,105
2017-05,97,274,49,119,8,14,1.2,131
2017-06,77,302,43,102,8,16,1.27,116
2017-07,70,277,49,72,9,13,4.2,120
2017-08,59,237,40,49,7,35,1.04,103
2017-09,72,323,32,86,9,31,0.97,59
2017-10,66,299,42,80,20,29,1.3,58
2017-11,92,315,68,90,25,26,1.42,57
2017-12,192,304,96,318,34,34,1.57,64
2018-01,158,321,79,251,41,26,1.89,92
2018-02,269,365,89,377,45,24,1.52,94
2018-03,175,350,70,274,36,18,1.5,103
2018-04,491,363,155,923,16,16,1.29,109
2018-05,94,343,46,135,11,11,1.15,113
2018-06,76,228,35,83,18,10,1.23,109
2018-07,68,279,29,77,16,12,1.22,102
2018-08,53,247,33,51,15,14,1.35,100
2018-09,45,179,24,43,13,14,1.06,80
2018-10,75,289,39,99,26,16,0.97,70
2018-11,239,312,57,290,23,26,1.47,68
2018-12,165,309,66,277,37,32,1.92,57
2019-01,82,321,50,113,25,29,1.8,59
2019-02,110,322,52,162,22,22,1.18,86
2019-03,100,341,50,147,17,19,1.16,104
2019-04,86,340,34,108,12,12,0.95,111
2019-05,282,351,87,365,12,13,0.94,101
2019-06,56,202,22,59,4,10,0.95,108
2019-07,51,221,20,46,3,10,0.96,95
2019-08,71,349,19,48,5,27,1.07,118
2019-09,37,171,20,34,6,12,1.35,95
2019-10,54,164,30,61,16,19,1.1,82
2019-11,129,320,46,177,21,22,1.6,88
2019-12,67,205,43,86,19,21,1.28,82
2020-01,74,212,54,80,43,21,0.96,88
2020-02,210,361,49,311,19,13,1.08,95
2020-03,131,360,47,212,15,15,1.03,98
2020-04,120,352,44,189,11,18,0.83,110
2020-05,92,340,31,134,10,13,0.81,115
2020-06,62,316,24,74,13,13,1.14,110
2020-07,35,204,19,40,10,10,0.89,103
2020-08,40,270,22,46,10,11,0.43,98
2020-09,52,291,23,56,14,12,0.91,87
2020-10,73,299,36,97,15,19,1.05,85
2020-11,82,304,60,82,17,27,0.6,71
2020-12,72,351,51,96,22,25,0.53,70
2021-01,119,354,60,145,26,20,0.71,74
2021-02,89,333,52,120,18,15,0.84,103
2021-03,500,360,279,1131,17,15,1.23,216
2021-04,132,349,58,201,10,16,0.72,96
2021-05,82,326,49,123,9,14,0.83,102
2021-06,67,308,34,129,13,11,0.97,106
2021-07,67,361,20,34,11,7,1.15,160
2021-08,39,238,23,39,10,13,0.69,112
2021-09,39,296,23,35,11,10,0.9,100
2021-10,53,274,33,59,10,15,1.42,92
2021-11,73,294,35,97,18,18,1.15,67
2021-12,76,299,51,72,23,30,0.76,58
2022-01,89,231,61,98,16,25,1.13,34
2022-02,66,260,59,76,13,17,1.67,68
2022-03,262,333,119,401,13,16,1.34,89
