年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,52,37,23,51,13,9,0.3,24
2015-02,53,62,15,63,12,9,0.14,40
2015-03,77,183,41,97,10,10,0.17,59
2015-04,55,75,27,57,3,7,0.05,71
2015-05,53,87,24,36,1,6,0.0,72
2015-06,50,146,21,42,2,5,0.0,55
2015-07,42,64,13,16,3,5,0.27,54
2015-08,43,110,29,23,4,5,0.32,61
2015-09,30,37,20,16,6,5,0.3,35
2015-10,53,70,35,21,6,9,0.38,0
2015-11,50,93,25,44,13,8,0.46,17
2015-12,53,62,27,51,21,7,0.35,30
2016-01,40,37,25,38,10,2,0.25,56
2016-02,54,31,35,52,8,2,0.09,61
2016-03,63,65,28,68,2,2,0.37,64
2016-04,47,98,0,19,1,3,0.3,65
2016-05,53,60,19,27,11,8,0.31,70
2016-06,52,115,12,28,10,8,0.29,69
2016-07,52,143,31,34,10,7,0.27,55
2016-08,36,42,19,0,6,2,0.28,51
2016-09,27,8,12,5,6,3,0.25,0
2016-10,38,40,22,25,6,8,0.11,26
2016-11,50,42,23,47,9,8,0.41,6
2016-12,42,7,25,40,18,7,0.11,11
2017-01,48,36,28,48,21,7,1.0,30
2017-02,40,12,18,29,15,8,0.43,52
2017-03,46,36,20,36,10,5,0.47,73
2017-04,42,11,16,19,6,9,0.66,61
2017-05,47,24,12,17,5,8,0.85,77
2017-06,40,61,12,14,5,5,0.94,69
2017-07,37,40,14,11,4,6,0.78,74
2017-08,27,25,12,11,5,9,0.79,31
2017-09,23,14,12,10,4,8,0.7,37
2017-10,31,27,18,12,5,9,0.8,28
2017-11,32,2,18,27,11,9,0.84,36
2017-12,43,20,24,34,15,13,1.02,36
2018-01,40,21,21,37,15,10,0.94,37
2018-02,59,105,30,68,8,5,0.38,61
2018-03,43,10,15,31,8,6,0.8,78
2018-04,40,17,11,18,7,6,0.91,68
2018-05,44,46,15,31,6,6,0.23,79
2018-06,40,57,12,18,8,5,0.46,68
2018-07,36,84,10,20,1,6,0.45,32
2018-08,24,12,12,16,11,5,0.61,43
2018-09,28,19,10,15,10,8,0.73,49
2018-10,29,16,9,17,12,6,0.51,42
2018-11,32,12,11,18,10,8,0.63,37
2018-12,40,39,17,39,13,15,0.58,30
2019-01,29,3,12,24,11,9,0.17,37
2019-02,49,98,22,44,12,9,0.55,34
2019-03,44,44,15,40,7,8,0.24,62
2019-04,38,55,11,25,5,6,0.58,58
2019-05,32,14,13,17,3,5,0.63,55
2019-06,25,48,9,16,2,5,0.31,56
2019-07,29,54,11,19,2,5,0.24,61
2019-08,22,22,7,13,3,6,0.69,66
2019-09,15,4,4,7,2,2,0.42,47
2019-10,21,14,11,17,5,9,0.57,46
2019-11,25,24,12,21,6,10,0.7,49
2019-12,28,13,12,23,6,8,0.3,43
2020-01,36,58,15,36,6,6,0.29,54
2020-02,32,54,13,31,9,5,0.7,48
2020-03,36,63,12,29,3,6,0.38,67
2020-04,1,4,1,1,0,0,0.02,3
2020-05,10,4,3,11,1,2,0.18,26
2020-06,23,63,8,21,5,5,0.11,51
2020-07,21,34,8,13,5,5,0.2,60
2020-08,21,43,7,10,4,5,0.19,53
2020-09,23,30,10,19,5,5,0.19,35
2020-10,22,19,10,20,3,7,0.2,30
2020-11,29,19,13,29,6,10,0.24,26
2020-12,0,2,0,0,0,0,0.0,0
2021-01,10,3,3,9,5,4,0.12,20
2021-02,18,3,6,18,2,5,0.15,37
2021-03,29,24,11,27,3,5,0.27,55
2021-04,28,33,9,19,3,2,0.27,73
2021-05,5,3,1,5,1,0,0.08,10
2021-06,18,5,4,15,4,2,0.45,62
2021-07,24,64,10,13,2,2,0.51,49
2021-08,0,1,0,0,0,0,0.0,0
2021-09,24,21,11,12,2,3,0.35,66
2021-10,0,1,0,0,0,0,0.0,0
2021-11,23,20,11,17,6,7,0.53,39
2021-12,29,17,16,30,6,8,0.22,26
2022-01,20,9,11,17,4,8,0.31,22
2022-02,29,20,11,29,2,6,0.38,22
2022-03,44,51,17,45,2,4,0.23,19
