年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,66.0,72.0,46.0,61.0,5.0,21.0,0.35,30.0
2015-04,59.0,78.0,39.0,58.0,5.0,14.0,0.15,37.0
2015-05,54.0,103.0,36.0,49.0,6.0,8.0,0.18,51.0
2015-06,40.0,59.0,25.0,29.0,6.0,9.0,0.235,36.0
2015-07,28.0,27.0,17.0,24.0,6.0,9.0,0.13,20.0
2015-08,36.0,47.0,23.0,32.0,8.0,9.0,0.14,29.0
2015-09,44.5,107.0,28.5,41.5,8.0,9.5,0.15,29.5
2015-10,56.0,110.0,38.0,55.0,8.0,12.0,0.13,41.0
2015-11,34.5,42.5,20.5,32.0,10.0,18.0,0.215,40.5
2015-12,61.0,84.0,42.0,57.0,13.0,20.0,0.25,46.0
2016-01,43.0,55.0,24.0,39.0,8.0,28.0,0.24,58.0
2016-02,63.0,142.0,41.0,61.0,8.0,25.0,0.19,64.0
2016-03,67.0,121.0,46.0,70.0,10.0,27.0,0.22,53.0
2016-04,38.5,17.5,20.5,31.0,10.0,21.0,0.6100000000000001,58.0
2016-05,36.0,30.0,19.0,31.0,17.0,14.0,0.51,55.0
2016-06,31.0,46.5,14.5,28.0,20.0,14.0,0.435,52.5
2016-07,32.0,51.0,12.0,25.0,18.0,15.0,0.43,59.0
2016-08,39.0,74.0,18.0,35.0,21.0,15.0,0.46,57.0
2016-09,46.5,86.5,24.5,45.5,23.5,15.0,0.51,56.0
2016-10,36.0,60.0,12.0,35.0,12.0,20.0,0.63,48.0
2016-11,46.0,64.5,21.5,47.0,11.0,23.5,0.71,34.5
2016-12,66.0,87.0,44.0,72.0,12.0,20.0,0.84,40.0
2017-01,60.0,105.0,39.0,67.0,11.0,19.0,0.79,48.0
2017-02,60.5,121.0,37.5,67.5,11.0,18.0,0.615,58.0
2017-03,48.0,61.0,24.0,54.0,11.0,18.0,0.64,68.0
2017-04,54.0,65.0,27.5,56.5,10.0,14.5,0.6799999999999999,68.0
