年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,24,7,14,22,4,13,0.11,25
2015-04,32,14,13,30,4,6,0.07,26
2015-05,25,9,12,21,5,5,0.07,24
2015-06,24,6,9,14,5,7,0.11,16
2015-07,19,1,7,13,5,8,0.07,16
2015-08,16,1,6,14,5,8,0.07,23
2015-09,24,9,10,21,7,8,0.08,21
2015-10,18,1,9,15,3,7,0.09,22
2015-11,19,2,6,16,5,10,0.07,29
2015-12,29,15,11,13,7,13,0.07,31
2016-01,26,7,8,18,5,22,0.06,38
2016-02,34,16,15,28,6,20,0.08,46
2016-03,46,24,15,28,5,20,0.06,32
2016-04,24,2,8,17,5,14,0.27,33
2016-05,23,2,8,17,15,12,0.26,41
2016-06,20,8,5,15,17,11,0.3,37
2016-07,22,19,5,15,14,13,0.28,42
2016-08,20,3,7,15,19,13,0.29,39
2016-09,22,17,4,15,9,11,0.39,33
2016-10,22,16,5,18,9,15,0.3,37
2016-11,17,6,5,14,8,15,0.43,22
2016-12,25,2,12,23,7,14,0.59,24
2017-01,22,1,8,20,7,14,0.47,31
2017-02,31,15,13,26,8,12,0.39,38
2017-03,31,13,7,19,9,13,0.39,38
2017-04,29,11,7,17,8,12,0.54,40
2017-05,35,7,11,25,11,12,0.49,50
2017-06,29,9,4,14,14,12,0.48,46
2017-07,24,12,5,22,7,11,0.49,39
2017-08,26,6,4,18,8,13,0.46,37
2017-09,26,14,5,19,6,14,0.5,38
2017-10,23,19,4,15,7,15,0.46,36
2017-11,24,3,8,22,7,17,0.43,27
2017-12,24,14,8,23,5,15,0.49,24
2018-01,19,1,5,17,5,13,0.31,17
2018-02,22,1,6,16,8,10,0.37,30
2018-03,17,1,5,14,9,13,0.55,28
2018-04,20,1,9,18,6,11,0.49,29
2018-05,24,3,6,19,8,10,0.48,36
2018-06,24,4,5,17,6,11,0.46,33
2018-07,19,1,5,15,7,10,0.35,32
2018-08,21,3,4,14,7,9,0.57,39
2018-09,20,8,6,15,6,10,0.47,26
2018-10,21,7,11,19,7,11,0.42,25
2018-11,13,1,5,10,6,12,0.47,22
2018-12,17,1,5,8,6,13,0.36,16
2019-01,21,6,7,15,6,18,0.58,20
2019-02,16,3,5,9,7,12,0.6,24
2019-03,24,14,7,14,5,11,0.37,35
2019-04,27,9,7,15,4,11,0.29,46
2019-05,30,10,5,9,6,9,0.31,60
2019-06,16,8,3,13,8,10,0.36,39
2019-07,19,16,4,6,7,8,0.34,49
2019-08,22,12,4,8,8,8,0.18,45
2019-09,17,7,4,10,5,9,0.3,48
2019-10,22,28,10,19,3,13,0.4,28
2019-11,19,17,8,15,4,13,0.42,26
2019-12,19,9,10,17,4,13,0.47,17
2020-01,16,8,5,5,4,8,0.38,15
2020-02,14,6,4,8,4,7,0.23,27
2020-03,19,10,5,9,4,9,0.23,35
2020-04,18,8,7,12,5,12,0.32,50
2020-05,23,11,5,10,5,9,0.33,56
2020-06,13,8,4,6,4,8,0.28,36
2020-07,12,3,4,7,4,6,0.28,30
2020-08,18,30,5,11,4,6,0.42,45
2020-09,19,21,4,5,4,7,0.44,40
2020-10,21,40,5,8,3,11,0.33,48
2020-11,13,7,5,8,4,15,0.27,19
2020-12,27,29,17,22,3,9,0.33,18
2021-01,29,7,18,23,5,13,0.33,25
2021-02,22,11,7,9,4,6,0.4,34
2021-03,16,6,9,12,4,9,0.33,30
2021-04,18,9,9,15,3,10,0.3,39
2021-05,17,12,5,7,4,5,0.38,27
2021-06,14,4,5,9,5,4,0.27,29
2021-07,9,4,4,6,4,3,0.17,21
2021-08,11,5,4,6,5,4,0.25,34
2021-09,16,18,5,10,6,5,0.27,47
2021-10,16,18,4,7,7,7,0.1,29
2021-11,16,10,8,14,4,7,0.17,17
2021-12,20,7,13,17,5,12,0.45,15
2022-01,14,2,5,8,5,8,0.3,16
2022-02,13,4,7,12,6,7,0.25,29
2022-03,15,9,5,10,7,5,0.16,29
