年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,275,396,224,300,86,86,3.45,50
2015-02,222,359,174,234,63,89,2.61,77
2015-03,137,326,103,166,42,64,2.59,73
2015-04,131,345,99,158,51,78,1.91,114
2015-05,179,363,135,182,73,43,2.0,132
2015-06,120,343,90,142,45,43,1.75,97
2015-07,136,350,103,138,32,35,1.51,97
2015-08,111,358,82,119,21,27,1.94,109
2015-09,97,348,70,106,31,34,1.83,126
2015-10,154,343,117,161,25,49,2.03,92
2015-11,94,287,70,102,23,43,2.79,59
2015-12,236,349,190,234,47,55,2.49,43
2016-01,271,361,223,297,87,64,3.44,47
2016-02,241,327,193,261,60,43,2.66,73
2016-03,232,339,182,266,56,61,3.16,89
2016-04,105,323,75,113,31,42,3.17,110
2016-05,140,356,105,146,37,45,2.23,106
2016-06,112,350,82,114,21,33,3.14,120
2016-07,89,332,56,100,21,34,1.48,111
2016-08,105,353,72,106,38,34,1.33,149
2016-09,112,349,84,128,55,38,1.56,127
2016-10,122,319,92,129,25,42,1.8,77
2016-11,118,298,88,145,33,58,1.94,90
2016-12,162,329,122,181,28,73,1.84,53
2017-01,231,343,180,257,32,80,2.07,54
2017-02,201,357,157,246,51,58,1.77,73
2017-03,219,363,174,242,45,59,2.02,74
2017-04,126,335,95,139,41,68,1.64,91
2017-05,155,363,102,258,28,52,1.43,122
2017-06,107,344,76,110,46,43,1.6,121
2017-07,108,361,75,117,21,32,1.55,117
2017-08,78,321,57,78,27,36,1.56,107
2017-09,98,334,72,100,21,43,1.5,117
2017-10,132,356,100,144,22,57,1.77,83
2017-11,158,357,120,170,36,78,2.11,123
2017-12,204,352,156,227,39,73,2.04,41
2018-01,148,304,112,151,28,62,1.96,65
2018-02,142,335,108,157,26,61,1.7,70
2018-03,119,305,89,147,26,56,1.7,89
2018-04,136,328,90,220,28,58,1.86,105
2018-05,93,343,69,134,21,44,1.26,112
2018-06,107,337,52,83,22,36,1.25,176
2018-07,70,311,37,67,19,33,1.54,109
2018-08,92,344,47,78,15,28,1.31,143
2018-09,75,337,48,86,27,39,1.29,125
2018-10,91,299,59,89,19,51,1.43,134
2018-11,109,337,81,121,18,57,1.9,109
2018-12,149,318,112,164,25,68,1.78,51
2019-01,163,354,123,186,19,57,1.72,86
2019-02,173,332,133,187,21,45,1.49,58
2019-03,94,317,65,118,18,52,1.34,98
2019-04,75,289,51,92,21,43,1.82,99
2019-05,99,288,59,144,28,41,1.48,117
2019-06,73,310,37,75,17,33,1.3,163
2019-07,72,297,36,70,17,28,1.13,112
2019-08,64,290,42,67,19,23,1.05,135
2019-09,83,354,52,91,23,56,1.16,159
2019-10,97,336,54,144,24,59,1.43,123
2019-11,114,341,86,152,28,63,1.46,92
2019-12,126,316,95,173,33,82,1.45,62
2020-01,116,269,87,133,27,60,1.57,77
2020-02,79,274,58,82,32,30,1.98,84
2020-03,92,312,48,134,36,34,1.75,112
2020-04,84,327,60,117,31,47,1.31,110
2020-05,83,364,47,114,28,43,1.39,125
2020-06,48,255,30,49,19,28,1.25,99
2020-07,60,325,39,65,16,29,1.28,100
2020-08,68,339,36,74,19,32,1.2,121
2020-09,82,360,49,90,38,49,1.3,130
2020-10,86,340,62,119,115,59,1.51,103
2020-11,88,332,60,125,36,61,1.41,95
2020-12,189,352,143,231,41,101,1.83,58
2021-01,156,338,119,191,29,80,1.73,67
2021-02,94,354,70,113,24,48,1.27,101
2021-03,97,273,41,144,20,52,1.58,94
2021-04,103,354,56,154,26,49,1.43,94
2021-05,87,341,58,124,24,41,1.4,122
2021-06,76,328,37,71,23,33,1.2,135
2021-07,65,356,29,67,20,25,1.18,128
2021-08,63,342,26,56,18,25,1.28,129
2021-09,76,357,35,68,22,29,1.3,156
2021-10,97,338,73,122,20,56,1.36,119
2021-11,133,311,101,172,23,55,2.2,86
2021-12,132,337,100,169,26,66,3.13,88
2022-01,168,291,127,203,24,61,1.55,79
2022-02,153,315,117,138,21,70,1.61,87
2022-03,151,291,65,230,23,51,1.31,100
