年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,81,16,105,136,46,34,1.09,17
2014-01,31,1,11,31,27,17,0.69,10
2014-02,31,2,10,30,25,16,0.69,14
2014-03,36,3,15,37,16,14,0.58,23
2014-04,36,2,11,34,7,6,0.49,50
2014-05,28,2,5,21,3,4,0.53,43
2014-06,31,4,7,25,3,6,0.3,30
2014-07,24,2,5,21,4,5,0.24,32
2014-08,26,2,5,21,3,7,0.45,35
2014-09,19,1,7,18,3,5,0.44,17
2014-10,27,1,7,24,7,6,0.48,22
2014-11,30,3,13,26,20,6,0.59,14
2014-12,24,2,7,18,27,7,0.49,19
2015-01,30,6,11,26,31,14,0.6,20
2015-02,36,9,8,29,20,11,0.63,26
2015-03,34,9,10,27,14,7,0.58,59
2015-04,36,16,9,24,9,9,0.62,42
2015-05,28,11,5,17,7,8,0.37,46
2015-06,29,27,6,17,4,10,0.35,45
2015-07,29,16,6,27,6,12,0.42,43
2015-08,32,43,6,30,1,7,0.35,20
2015-09,25,11,6,24,2,10,0.35,22
2015-10,25,4,8,23,2,6,0.28,18
2015-11,46,65,24,44,17,14,0.26,13
2015-12,30,30,15,28,16,14,0.43,6
2016-01,42,29,22,39,30,18,0.58,16
2016-02,32,8,14,31,28,14,0.57,30
2016-03,32,10,12,26,16,12,0.4,42
2016-04,35,18,11,28,6,6,0.39,52
2016-05,29,1,11,23,5,8,0.27,49
2016-06,26,24,8,21,4,12,0.28,31
2016-07,32,45,10,28,2,11,0.34,37
2016-08,13,4,4,11,2,5,0.33,15
2016-09,16,4,5,15,2,9,0.24,12
2016-10,30,27,11,29,2,10,0.49,22
2016-11,40,66,24,39,21,21,0.75,17
2016-12,34,20,17,33,21,15,0.71,6
2017-01,30,9,14,27,24,14,0.77,12
2017-02,33,4,14,27,15,10,0.6,34
2017-03,31,2,14,28,14,14,0.67,44
2017-04,35,20,10,25,4,11,0.41,63
2017-05,38,21,9,31,5,6,0.38,50
2017-06,25,21,7,22,6,10,0.4,43
2017-07,35,28,9,30,6,9,0.49,50
2017-08,28,48,10,26,4,4,0.37,31
2017-09,24,19,9,22,2,4,0.3,28
2017-10,30,25,8,23,2,5,0.32,34
2017-11,34,29,16,33,10,12,0.51,28
2017-12,31,14,16,27,17,11,0.76,18
2018-01,33,13,15,29,16,11,0.59,20
2018-02,36,3,18,29,15,11,0.55,28
2018-03,40,25,15,32,9,9,0.44,55
2018-04,42,21,14,32,3,10,0.42,58
2018-05,29,4,10,23,3,6,0.38,53
2018-06,27,11,8,20,4,9,0.34,52
2018-07,21,4,9,17,4,6,0.37,32
2018-08,23,12,7,17,4,7,0.33,33
2018-09,17,3,6,14,4,4,0.28,23
2018-10,19,3,4,15,4,5,0.27,23
2018-11,27,9,9,22,6,7,0.39,23
2018-12,30,24,11,27,9,8,0.36,15
2019-01,36,9,16,35,10,7,0.43,13
2019-02,32,18,14,25,10,6,0.46,31
2019-03,37,14,8,29,11,6,0.37,50
2019-04,35,17,7,17,3,6,0.26,59
2019-05,27,15,4,11,4,4,0.3,47
2019-06,15,4,4,11,5,6,0.2,26
2019-07,17,20,6,15,6,7,0.26,33
2019-08,21,9,7,18,4,6,0.35,24
2019-09,17,6,5,17,4,7,0.27,33
2019-10,17,17,5,14,4,7,0.26,18
2019-11,22,12,12,16,10,12,0.31,14
2019-12,31,37,20,24,15,11,0.43,11
2020-01,37,54,24,35,23,11,0.6,27
2020-02,24,17,15,23,12,7,0.4,39
2020-03,17,21,6,17,2,4,0.18,39
2020-04,17,5,7,11,3,6,0.35,53
2020-05,18,5,6,11,4,6,0.3,52
2020-06,12,6,5,8,4,4,0.32,34
2020-07,27,89,7,25,3,7,0.37,53
2020-08,9,6,3,8,4,5,0.3,16
2020-09,15,5,4,9,4,4,0.38,20
2020-10,13,9,6,12,4,6,0.29,26
2020-11,23,23,7,22,5,8,0.35,16
2020-12,20,12,10,19,7,9,0.43,14
2021-01,26,18,12,26,11,11,0.49,13
2021-02,24,8,9,20,9,6,0.33,40
2021-03,28,26,10,23,9,8,0.35,47
2021-04,26,30,7,21,3,8,0.29,64
2021-05,23,6,5,20,3,6,0.32,58
2021-06,20,16,4,11,3,6,0.33,42
2021-07,20,25,5,13,4,6,0.31,55
2021-08,9,6,4,8,4,4,0.3,20
2021-09,17,8,6,15,4,6,0.31,23
2021-10,22,20,6,21,4,4,0.35,26
2021-11,16,5,6,13,8,6,0.27,17
2021-12,22,20,10,20,7,8,0.35,15
2022-01,26,26,13,22,7,11,0.4,22
2022-02,24,4,12,21,8,8,0.3,46
2022-03,24,8,10,20,3,5,0.33,53
