年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,94,193,69,122,44,55,2.09,59
2015-02,104,225,77,108,34,47,1.45,74
2015-03,75,174,54,82,21,26,1.42,65
2015-04,97,239,58,96,29,41,1.16,97
2015-05,60,124,39,64,12,36,1.42,86
2015-06,48,122,23,44,11,22,0.94,65
2015-07,60,187,37,66,10,31,0.9,89
2015-08,66,233,37,65,12,28,0.84,86
2015-09,69,289,47,78,16,31,1.14,80
2015-10,80,247,56,83,17,33,1.02,95
2015-11,82,230,58,81,28,48,1.13,65
2015-12,92,235,65,113,22,49,2.14,79
2016-01,84,157,59,99,23,45,2.12,80
2016-02,135,198,102,114,43,24,1.04,88
2016-03,156,361,118,145,27,73,2.07,102
2016-04,101,259,72,89,13,36,1.38,100
2016-05,75,220,51,87,17,41,1.17,100
2016-06,57,231,27,55,12,28,0.84,78
2016-07,74,290,45,81,11,28,0.85,82
2016-08,74,253,48,87,12,27,0.91,89
2016-09,73,262,50,85,12,29,1.27,78
2016-10,62,304,32,71,12,28,0.96,73
2016-11,84,201,60,92,20,52,1.23,89
2016-12,77,170,52,101,19,47,1.24,72
2017-01,161,224,125,129,51,48,1.36,66
2017-02,85,147,57,79,15,45,0.86,88
2017-03,70,168,50,84,18,52,1.5,84
2017-04,75,224,48,72,11,43,1.02,100
2017-05,70,145,39,62,10,35,1.03,105
2017-06,47,122,25,48,9,36,0.89,61
2017-07,80,284,44,74,11,26,0.75,95
2017-08,59,271,35,61,10,29,0.83,73
2017-09,72,234,46,73,12,28,0.75,85
2017-10,79,312,51,82,15,38,0.8,123
2017-11,84,284,61,82,15,41,1.07,126
2017-12,78,156,57,100,22,59,1.35,84
2018-01,84,226,62,90,18,52,1.3,78
2018-02,232,341,216,187,54,47,0.96,75
2018-03,79,207,57,105,15,41,0.92,94
2018-04,85,240,56,96,62,39,1.05,103
2018-05,69,264,38,70,12,32,0.82,91
2018-06,69,229,36,66,10,30,0.89,101
2018-07,54,222,32,53,14,25,0.8,69
2018-08,68,289,44,68,9,24,0.84,102
2018-09,57,245,30,50,10,26,0.76,77
2018-10,78,286,52,78,17,35,0.86,106
2018-11,63,235,43,58,18,34,1.01,101
2018-12,65,166,43,71,15,40,1.08,49
2019-01,65,120,46,67,19,39,1.27,64
2019-02,95,215,70,88,19,27,1.21,59
2019-03,78,300,53,60,13,39,0.86,99
2019-04,69,238,48,59,12,39,0.98,69
2019-05,64,121,36,65,15,26,0.99,93
2019-06,47,235,30,49,11,23,0.79,87
2019-07,43,206,23,42,12,18,0.78,64
2019-08,48,200,29,46,11,21,0.72,79
2019-09,58,274,36,61,15,32,0.73,102
2019-10,64,297,44,78,17,37,0.86,79
2019-11,67,284,44,80,18,45,0.82,94
2019-12,73,290,47,83,20,58,1.11,78
2020-01,93,243,72,80,31,39,1.0,77
2020-02,63,237,45,49,6,25,0.64,81
2020-03,60,190,35,61,10,47,1.14,76
2020-04,66,283,40,72,14,41,1.05,114
2020-05,58,199,34,59,12,29,0.83,97
2020-06,34,173,16,34,8,19,0.46,66
2020-07,48,282,29,49,12,28,0.61,71
2020-08,49,269,28,49,11,31,0.63,72
2020-09,55,259,34,60,10,28,0.79,108
2020-10,54,307,30,59,14,43,0.76,106
2020-11,62,254,36,74,12,38,0.82,135
2020-12,62,214,40,62,13,38,0.98,69
2021-01,89,301,66,92,14,57,0.8,76
2021-02,78,196,53,61,23,33,0.7,107
2021-03,71,278,50,77,13,39,0.97,87
2021-04,70,302,40,90,13,34,0.83,108
2021-05,65,293,34,63,12,34,0.65,105
2021-06,39,203,18,38,9,21,0.57,70
2021-07,43,280,22,42,9,25,0.56,59
2021-08,46,296,25,47,9,25,0.56,58
2021-09,55,301,32,58,10,25,0.58,89
2021-10,47,253,27,46,10,24,0.54,90
2021-11,54,228,32,58,12,36,0.66,82
2021-12,64,253,45,62,14,41,0.83,77
2022-01,98,214,73,94,15,47,0.95,61
2022-02,63,203,45,49,14,22,0.76,68
2022-03,73,211,51,66,9,30,0.77,94
